NG_NumOfSpecies,NG_NumOfReactions,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
2,1,2,2,2,2,2,2,2,2,2,YMER
2,1,2,2,2,2,2,2,2,2,2,YMER
3,2,6,2,2,2,4,2,2,2,4,YMER
3,2,6,2,2,2,4,2,2,2,4,YMER
4,2,8,3,3,3,6,3,3,3,6,YMER
4,2,8,2,2,2,4,2,2,2,4,YMER
4,2,8,2,2.5,3,5,2,2.5,3,5,YMER
2,3,6,2,2,2,6,2,2,2,6,YMER
3,3,9,2,2,2,6,2,2,2,6,YMER
4,3,12,2,2,2,6,2,2,2,6,YMER
4,3,12,2,2,2,6,2,2,2,6,YMER
4,3,12,3,3,3,9,3,3,3,9,YMER
4,3,12,2,2,2,6,2,2,2,6,YMER
5,3,15,2,2.666666667,3,8,2,2.666666667,3,8,YMER
3,4,12,2,2,2,8,2,2,2,8,YMER
3,4,12,2,2,2,8,2,2,2,8,YMER
5,2,10,3,3,3,6,3,3,3,6,YMER
6,3,18,3,3.666666667,4,11,3,3.666666667,4,11,YMER
3,4,12,2,2,2,8,2,2,2,8,YMER
6,3,18,2,2,2,6,2,2,2,6,YMER
3,4,12,2,2,2,8,2,2,2,8,YMER
3,4,12,2,2,2,8,2,2,2,8,YMER
4,4,16,2,2,2,8,2,2,2,8,YMER
5,2,10,3,3,3,6,3,3,3,6,YMER
5,2,10,3,3,3,6,3,3,3,6,YMER
5,2,10,3,3,3,6,3,3,3,6,YMER
6,3,18,2,3,4,9,2,3,4,9,YMER
4,4,16,2,3,4,12,2,3,4,12,YMER
4,4,16,2,2,2,8,2,2,2,8,YMER
5,3,15,3,3.333333333,4,10,3,3.333333333,4,10,YMER
5,4,20,2,2,2,8,2,2,2,8,YMER
5,4,20,2,2,2,8,2,2,2,8,YMER
5,4,20,2,2.75,3,11,2,2.75,3,11,YMER
6,4,24,2,2,2,8,2,2,2,8,YMER
5,4,20,2,2,2,8,2,2,2,8,YMER
6,4,24,2,2.75,3,11,2,2.75,3,11,YMER
5,4,20,2,2,2,8,2,2,2,8,YMER
6,4,24,2,2,2,8,2,2,2,8,YMER
6,4,24,2,2,2,8,2,2,2,8,YMER
6,4,24,2,2,2,8,2,2,2,8,YMER
3,5,15,2,2,2,10,2,2,2,10,YMER
6,4,24,2,2,2,8,2,2,2,8,YMER
4,5,20,2,2,2,10,2,2,2,10,YMER
4,5,20,2,2,2,10,2,2,2,10,YMER
5,5,25,2,2,2,10,2,2,2,10,YMER
4,5,20,2,2,2,10,2,2,2,10,YMER
4,5,20,2,2,2,10,2,2,2,10,YMER
6,5,30,2,2,2,10,2,2,2,10,YMER
5,5,25,2,2,2,10,2,2,2,10,YMER
5,5,25,2,2,2,10,2,2,2,10,YMER
6,5,30,2,2,2,10,2,2,2,10,YMER
6,5,30,2,2,2,10,2,2,2,10,YMER
6,5,30,2,2,2,10,2,2,2,10,YMER
5,5,25,2,3.2,4,16,2,3.2,4,16,YMER
6,5,30,2,2,2,10,2,2,2,10,YMER
7,5,35,2,2,2,10,2,2,2,10,YMER
4,6,24,2,2,2,12,2,2,2,12,YMER
4,6,24,2,2,2,12,2,2,2,12,YMER
8,5,40,2,2.2,3,11,2,2.2,3,11,YMER
7,5,35,2,2.6,4,13,2,2.6,4,13,YMER
5,6,30,2,2,2,12,2,2,2,12,YMER
9,4,36,4,4.5,5,18,4,4.5,5,18,YMER
6,6,36,2,2,2,12,2,2,2,12,YMER
4,7,28,2,2,2,14,2,2,2,14,YMER
9,5,45,2,2.4,3,12,2,2.4,3,12,YMER
6,6,36,2,2,2,12,2,2,2,12,YMER
7,6,42,2,2,2,12,2,2,2,12,YMER
7,6,42,2,2,2,12,2,2,2,12,YMER
7,6,42,2,2,2,12,2,2,2,12,YMER
7,6,42,2,2,2,12,2,2,2,12,YMER
7,6,42,2,2.333333333,3,14,2,2.333333333,3,14,YMER
8,5,40,2,2.8,3,14,2,2.8,3,14,YMER
8,6,48,2,2,2,12,2,2,2,12,YMER
5,7,35,2,2.285714286,3,16,2,2.285714286,3,16,YMER
9,6,54,2,2,2,12,2,2,2,12,YMER
9,6,54,2,2,2,12,2,2,2,12,YMER
9,6,54,2,2,2,12,2,2,2,12,YMER
8,5,40,2,2.6,3,13,2,2.6,3,13,YMER
4,8,32,2,2,2,16,2,2,2,16,YMER
6,6,36,2,2.5,3,15,2,2.5,3,15,YMER
9,6,54,2,2,2,12,2,2,2,12,YMER
5,7,35,2,2,2,14,2,2,2,14,YMER
6,7,42,2,2,2,14,2,2,2,14,YMER
7,7,49,2,2,2,14,2,2,2,14,YMER
7,7,49,2,2,2,14,2,2,2,14,YMER
10,6,60,2,2.833333333,3,17,2,2.833333333,3,17,YMER
5,8,40,2,2,2,16,2,2,2,16,YMER
10,6,60,2,2.833333333,3,17,2,2.833333333,3,17,YMER
6,8,48,2,2,2,16,2,2,2,16,YMER
9,7,63,2,2,2,14,2,2,2,14,YMER
9,7,63,2,2,2,14,2,2,2,14,YMER
6,8,48,2,2,2,16,2,2,2,16,YMER
8,6,48,3,3.166666667,4,19,3,3.166666667,4,19,YMER
7,7,49,2,2.142857143,3,15,2,2.142857143,3,15,YMER
8,8,64,2,2,2,16,2,2,2,16,YMER
9,8,72,2,2,2,16,2,2,2,16,YMER
7,8,56,2,2,2,16,2,2,2,16,YMER
10,7,70,2,2.428571429,3,17,2,2.428571429,3,17,YMER
10,7,70,2,2.142857143,3,15,2,2.142857143,3,15,YMER
8,8,64,2,2,2,16,2,2,2,16,YMER
9,8,72,3,3,3,24,3,3,3,24,YMER
11,7,77,2,3.571428571,5,25,2,3.571428571,5,25,YMER
7,9,63,2,2.222222222,3,20,2,2.222222222,3,20,YMER
14,7,98,2,2,2,14,2,2,2,14,YMER
7,9,63,2,2,2,18,2,2,2,18,YMER
5,10,50,2,2,2,20,2,2,2,20,YMER
8,8,64,2,2.25,3,18,2,2.25,3,18,YMER
8,8,64,2,2.375,3,19,2,2.375,3,19,YMER
11,8,88,2,2,2,16,2,2,2,16,YMER
11,8,88,2,2.25,4,18,2,2.25,4,18,YMER
11,8,88,2,2.25,4,18,2,2.25,4,18,YMER
11,8,88,2,2,2,16,2,2,2,16,YMER
10,8,80,2,2.625,3,21,2,2.625,3,21,YMER
6,10,60,2,2,2,20,2,2,2,20,YMER
6,10,60,2,2,2,20,2,2,2,20,YMER
10,7,70,2,2.428571429,3,17,2,2.428571429,3,17,YMER
