ReactionG_PD_Edges,ReactionG_PD_Vertices,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeMEAN,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PD_Density,ReactionG_PD_Reciprocity,SpeciesG_PD_Edges,SpeciesG_PD_Vertices,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,1,0.5,0,1,0.5,1,1,1,1,0,0,0.25,0,2,2,2,2,2,2,2,2,2,MC2
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,1,0.5,0,1,0.5,1,1,1,1,0,0,0.25,0,2,2,2,2,2,2,2,2,2,MC2
3,2,1,2,1.5,1,2,1.5,2,2,2,1,0,0,0.75,0.666666667,2,3,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,1,1,0,0.222222222,0,6,2,2,2,4,2,2,2,4,MC2
3,2,1,2,1.5,1,2,1.5,2,2,2,1,0,0,0.75,0.666666667,2,3,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,1,1,0,0.222222222,0,6,2,2,2,4,2,2,2,4,MC2
5,2,2,3,2.5,2,3,2.5,3,4,3.5,1,0,0,1.25,1,4,4,0,2,1,0,2,1,1,4,2,1,1,0,0.25,0.5,8,3,3,3,6,3,3,3,6,MC2
2,2,1,1,1,1,1,1,1,1,1,2,0,0,0.5,1,2,4,0,1,0.5,0,1,0.5,1,1,1,2,0,0,0.125,0,8,2,2,2,4,2,2,2,4,MC2
4,2,1,3,2,2,2,2,2,3,2.5,1,0,0,1,0.75,3,4,0,1,0.75,0,2,0.75,1,3,1.5,1,1,0,0.1875,0,8,2,2.5,3,5,2,2.5,3,5,MC2
9,3,3,3,3,3,3,3,5,5,5,1,0,0,1,1,3,2,1,2,1.5,1,2,1.5,3,3,3,1,0,0,0.75,0.666666667,6,2,2,2,6,2,2,2,6,MRMC
6,3,2,2,2,2,2,2,3,3,3,1,0,0,0.666666667,0.5,3,3,1,1,1,1,1,1,2,2,2,1,0,0,0.333333333,0,9,2,2,2,6,2,2,2,6,MRMC
9,3,3,3,3,3,3,3,5,5,5,1,0,0,1,1,3,4,0,3,0.75,0,1,0.75,1,3,1.5,1,1,0,0.1875,0,12,2,2,2,6,2,2,2,6,MC2
5,3,1,2,1.666666667,1,2,1.666666667,2,3,2.333333333,1,1,0,0.555555556,0.6,3,4,0,1,0.75,0,1,0.75,1,2,1.5,1,2,0,0.1875,0,12,2,2,2,6,2,2,2,6,PLASMA
9,3,2,4,3,2,5,3,3,7,4.666666667,1,1,0,1,0.888888889,6,4,0,3,1.5,0,2,1.5,2,4,3,1,0,0,0.375,0.333333333,12,3,3,3,9,3,3,3,9,MC2
5,3,1,2,1.666666667,1,2,1.666666667,2,3,2.333333333,1,1,0,0.555555556,0.6,3,4,0,1,0.75,0,1,0.75,1,2,1.5,1,2,0,0.1875,0,12,2,2,2,6,2,2,2,6,PLASMA
7,3,2,3,2.333333333,2,3,2.333333333,3,4,3.333333333,1,0,0,0.777777778,0.571428571,5,5,0,2,1,0,2,1,1,3,2,1,2,0,0.2,0,15,2,2.666666667,3,8,2,2.666666667,3,8,PLASMA
