NG_NumOfSpecies,NG_NumOfReactions,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
2,1,2,2,2,2,2,2,2,2,2,MC2
2,1,2,2,2,2,2,2,2,2,2,MC2
3,2,6,2,2,2,4,2,2,2,4,MC2
3,2,6,2,2,2,4,2,2,2,4,MC2
4,2,8,3,3,3,6,3,3,3,6,MC2
4,2,8,2,2,2,4,2,2,2,4,MC2
4,2,8,2,2.5,3,5,2,2.5,3,5,MC2
2,3,6,2,2,2,6,2,2,2,6,PLASMA
3,3,9,2,2,2,6,2,2,2,6,PLASMA
4,3,12,2,2,2,6,2,2,2,6,MC2
4,3,12,2,2,2,6,2,2,2,6,PLASMA
4,3,12,3,3,3,9,3,3,3,9,MC2
4,3,12,2,2,2,6,2,2,2,6,PLASMA
5,3,15,2,2.666666667,3,8,2,2.666666667,3,8,PLASMA
3,4,12,2,2,2,8,2,2,2,8,PLASMA
3,4,12,2,2,2,8,2,2,2,8,PLASMA
5,2,10,3,3,3,6,3,3,3,6,MC2
6,3,18,3,3.666666667,4,11,3,3.666666667,4,11,MC2
3,4,12,2,2,2,8,2,2,2,8,PLASMA
6,3,18,2,2,2,6,2,2,2,6,MC2
3,4,12,2,2,2,8,2,2,2,8,PLASMA
3,4,12,2,2,2,8,2,2,2,8,PLASMA
4,4,16,2,2,2,8,2,2,2,8,MC2
5,2,10,3,3,3,6,3,3,3,6,MC2
5,2,10,3,3,3,6,3,3,3,6,MC2
5,2,10,3,3,3,6,3,3,3,6,MC2
6,3,18,2,3,4,9,2,3,4,9,MC2
4,4,16,2,3,4,12,2,3,4,12,MC2
4,4,16,2,2,2,8,2,2,2,8,MC2
5,3,15,3,3.333333333,4,10,3,3.333333333,4,10,PLASMA
5,4,20,2,2,2,8,2,2,2,8,PLASMA
5,4,20,2,2,2,8,2,2,2,8,PLASMA
5,4,20,2,2.75,3,11,2,2.75,3,11,MC2
6,4,24,2,2,2,8,2,2,2,8,MC2
5,4,20,2,2,2,8,2,2,2,8,PLASMA
6,4,24,2,2.75,3,11,2,2.75,3,11,PLASMA
5,4,20,2,2,2,8,2,2,2,8,PLASMA
6,4,24,2,2,2,8,2,2,2,8,MC2
6,4,24,2,2,2,8,2,2,2,8,MC2
6,4,24,2,2,2,8,2,2,2,8,MC2
3,5,15,2,2,2,10,2,2,2,10,PLASMA
6,4,24,2,2,2,8,2,2,2,8,MC2
4,5,20,2,2,2,10,2,2,2,10,PLASMA
4,5,20,2,2,2,10,2,2,2,10,PLASMA
5,5,25,2,2,2,10,2,2,2,10,PLASMA
4,5,20,2,2,2,10,2,2,2,10,MC2
4,5,20,2,2,2,10,2,2,2,10,MC2
6,5,30,2,2,2,10,2,2,2,10,MC2
5,5,25,2,2,2,10,2,2,2,10,PLASMA
5,5,25,2,2,2,10,2,2,2,10,MC2
6,5,30,2,2,2,10,2,2,2,10,MC2
6,5,30,2,2,2,10,2,2,2,10,PLASMA
6,5,30,2,2,2,10,2,2,2,10,MC2
5,5,25,2,3.2,4,16,2,3.2,4,16,PLASMA
6,5,30,2,2,2,10,2,2,2,10,MC2
7,5,35,2,2,2,10,2,2,2,10,MC2
4,6,24,2,2,2,12,2,2,2,12,MC2
4,6,24,2,2,2,12,2,2,2,12,MC2
8,5,40,2,2.2,3,11,2,2.2,3,11,MC2
7,5,35,2,2.6,4,13,2,2.6,4,13,PLASMA
5,6,30,2,2,2,12,2,2,2,12,PLASMA
9,4,36,4,4.5,5,18,4,4.5,5,18,MC2
6,6,36,2,2,2,12,2,2,2,12,MC2
4,7,28,2,2,2,14,2,2,2,14,PLASMA
9,5,45,2,2.4,3,12,2,2.4,3,12,MC2
6,6,36,2,2,2,12,2,2,2,12,MC2
7,6,42,2,2,2,12,2,2,2,12,PLASMA
7,6,42,2,2,2,12,2,2,2,12,MC2
7,6,42,2,2,2,12,2,2,2,12,MC2
7,6,42,2,2,2,12,2,2,2,12,MC2
7,6,42,2,2.333333333,3,14,2,2.333333333,3,14,PLASMA
8,5,40,2,2.8,3,14,2,2.8,3,14,PLASMA
8,6,48,2,2,2,12,2,2,2,12,PLASMA
5,7,35,2,2.285714286,3,16,2,2.285714286,3,16,PLASMA
9,6,54,2,2,2,12,2,2,2,12,MC2
9,6,54,2,2,2,12,2,2,2,12,MC2
9,6,54,2,2,2,12,2,2,2,12,MC2
8,5,40,2,2.6,3,13,2,2.6,3,13,PLASMA
4,8,32,2,2,2,16,2,2,2,16,PLASMA
6,6,36,2,2.5,3,15,2,2.5,3,15,PLASMA
9,6,54,2,2,2,12,2,2,2,12,MC2
5,7,35,2,2,2,14,2,2,2,14,PLASMA
6,7,42,2,2,2,14,2,2,2,14,MC2
7,7,49,2,2,2,14,2,2,2,14,MC2
7,7,49,2,2,2,14,2,2,2,14,PLASMA
10,6,60,2,2.833333333,3,17,2,2.833333333,3,17,PLASMA
5,8,40,2,2,2,16,2,2,2,16,PLASMA
10,6,60,2,2.833333333,3,17,2,2.833333333,3,17,PLASMA
6,8,48,2,2,2,16,2,2,2,16,PLASMA
9,7,63,2,2,2,14,2,2,2,14,MC2
9,7,63,2,2,2,14,2,2,2,14,MC2
6,8,48,2,2,2,16,2,2,2,16,PLASMA
8,6,48,3,3.166666667,4,19,3,3.166666667,4,19,PLASMA
7,7,49,2,2.142857143,3,15,2,2.142857143,3,15,PLASMA
8,8,64,2,2,2,16,2,2,2,16,PLASMA
9,8,72,2,2,2,16,2,2,2,16,PLASMA
7,8,56,2,2,2,16,2,2,2,16,PLASMA
10,7,70,2,2.428571429,3,17,2,2.428571429,3,17,PLASMA
10,7,70,2,2.142857143,3,15,2,2.142857143,3,15,PLASMA
8,8,64,2,2,2,16,2,2,2,16,PLASMA
9,8,72,3,3,3,24,3,3,3,24,PLASMA
11,7,77,2,3.571428571,5,25,2,3.571428571,5,25,MC2
7,9,63,2,2.222222222,3,20,2,2.222222222,3,20,PLASMA
14,7,98,2,2,2,14,2,2,2,14,MC2
7,9,63,2,2,2,18,2,2,2,18,MC2
5,10,50,2,2,2,20,2,2,2,20,PLASMA
8,8,64,2,2.25,3,18,2,2.25,3,18,PLASMA
8,8,64,2,2.375,3,19,2,2.375,3,19,PLASMA
11,8,88,2,2,2,16,2,2,2,16,MC2
11,8,88,2,2.25,4,18,2,2.25,4,18,PLASMA
11,8,88,2,2.25,4,18,2,2.25,4,18,PLASMA
11,8,88,2,2,2,16,2,2,2,16,MC2
10,8,80,2,2.625,3,21,2,2.625,3,21,PLASMA
6,10,60,2,2,2,20,2,2,2,20,PLASMA
6,10,60,2,2,2,20,2,2,2,20,PLASMA
10,7,70,2,2.428571429,3,17,2,2.428571429,3,17,PLASMA
9,8,72,2,2.75,3,22,2,2.75,3,22,PLASMA
10,9,90,2,2.666666667,4,24,2,2.666666667,4,24,PLASMA
9,8,72,2,2.875,4,23,2,2.875,4,23,PLASMA
8,10,80,2,2,2,20,2,2,2,20,PLASMA
8,10,80,2,2,2,20,2,2,2,20,PLASMA
12,8,96,2,2.625,3,21,2,2.625,3,21,PLASMA
12,9,108,2,2,2,18,2,2,2,18,MC2
9,10,90,2,2,2,20,2,2,2,20,PLASMA
11,8,88,2,2.625,4,21,2,2.625,4,21,PLASMA
8,9,72,2,2.555555556,3,23,2,2.555555556,3,23,PLASMA
11,8,88,2,2.375,3,19,2,2.375,3,19,PLASMA
8,6,48,2,2.833333333,3,17,2,2.833333333,3,17,PLASMA
9,11,99,2,2,2,22,2,2,2,22,PLASMA
9,10,90,2,2,2,20,2,2,2,20,MC2
10,10,100,2,2.1,3,21,2,2.1,3,21,PLASMA
10,10,100,2,2.1,3,21,2,2.1,3,21,PLASMA
13,10,130,2,2.3,3,23,2,2.3,3,23,PLASMA
13,10,130,2,2,2,20,2,2,2,20,PLASMA
12,9,108,2,2.666666667,3,24,2,2.666666667,3,24,PLASMA
10,10,100,2,2,2,20,2,2,2,20,PLASMA
11,9,99,3,3.111111111,4,28,3,3.111111111,4,28,PLASMA
6,12,72,2,2,2,24,2,2,2,24,PLASMA
8,10,80,2,2,2,20,2,2,2,20,PLASMA
11,10,110,2,2.8,3,28,2,2.8,3,28,PLASMA
11,11,121,2,2,2,22,2,2,2,22,PLASMA
11,9,99,3,3.222222222,4,29,3,3.222222222,4,29,PLASMA
12,11,132,2,2,2,22,2,2,2,22,MC2
18,9,162,2,2,2,18,2,2,2,18,MC2
12,11,132,2,2.454545455,4,27,2,2.454545455,4,27,PLASMA
12,11,132,2,2.454545455,4,27,2,2.454545455,4,27,PLASMA
12,11,132,2,2.363636364,4,26,2,2.363636364,4,26,PLASMA
12,11,132,2,2.545454545,4,28,2,2.545454545,4,28,MC2
11,11,121,2,2.545454545,3,28,2,2.545454545,3,28,PLASMA
12,12,144,2,2,2,24,2,2,2,24,PLASMA
12,12,144,2,2,2,24,2,2,2,24,PLASMA
13,11,143,2,2,2,22,2,2,2,22,PLASMA
13,11,143,2,2.454545455,3,27,2,2.454545455,3,27,PLASMA
13,11,143,2,2.454545455,3,27,2,2.454545455,3,27,PLASMA
9,12,108,3,3,3,36,3,3,3,36,PLASMA
13,11,143,2,3,4,33,2,3,4,33,PLASMA
14,11,154,2,2.727272727,3,30,2,2.727272727,3,30,PLASMA
12,9,108,2,2.777777778,5,25,2,2.777777778,5,25,PLASMA
13,12,156,2,2.166666667,3,26,2,2.166666667,3,26,PLASMA
13,12,156,2,2.166666667,3,26,2,2.166666667,3,26,PLASMA
14,10,140,2,3.3,4,33,2,3.3,4,33,PLASMA
10,12,120,2,2.25,3,27,2,2.25,3,27,PLASMA
13,11,143,2,2.818181818,4,31,2,2.818181818,4,31,PLASMA
17,10,170,3,3,3,30,3,3,3,30,PLASMA
13,12,156,2,2,2,24,2,2,2,24,PLASMA
13,12,156,2,2,2,24,2,2,2,24,PLASMA
15,9,135,2,3,5,27,2,3,5,27,PLASMA
12,12,144,2,2,2,24,2,2,2,24,PLASMA
13,13,169,2,2.153846154,3,28,2,2.153846154,3,28,PLASMA
16,12,192,2,2.083333333,3,25,2,2.083333333,3,25,PLASMA
11,13,143,2,2.153846154,3,28,2,2.153846154,3,28,PLASMA
15,12,180,2,2.083333333,3,25,2,2.083333333,3,25,PLASMA
18,12,216,2,2,2,24,2,2,2,24,PLASMA
13,13,169,2,2.461538462,4,32,2,2.461538462,4,32,PLASMA
14,13,182,2,2.076923077,3,27,2,2.076923077,3,27,PLASMA
