FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,YMER,WithProbRELEASE,TRUE,null,4052764.0000,4052764.0000,TRUE,null,4151548.0000,4151548.0000,TRUE,null,4326144.0000,4326144.0000,0.0000,4176818.6667,4176818.6667,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MC2,WithProbRELEASE,TRUE,27523542.0000,207624631.0000,235148173.0000,TRUE,26164112.0000,204585891.0000,230750003.0000,TRUE,28573396.0000,193468833.0000,222042229.0000,27420350.0000,201893118.3333,229313468.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MRMC,WithProbRELEASE,TRUE,1411670304.0000,2388759.0000,1414059063.0000,TRUE,1419080982.0000,2618991.0000,1421699973.0000,TRUE,1384002939.0000,3178462.0000,1387181401.0000,1404918075.0000,2728737.3333,1407646812.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PRISM,WithProbRELEASE,TRUE,null,1496062160.0000,1496062160.0000,TRUE,null,1489690093.0000,1489690093.0000,TRUE,null,1471292611.0000,1471292611.0000,0.0000,1485681621.3333,1485681621.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PLASMA,WithProbRELEASE,TRUE,null,1642602652.0000,1642602652.0000,TRUE,null,1600814642.0000,1600814642.0000,TRUE,null,1559957463.0000,1559957463.0000,0.0000,1601124919.0000,1601124919.0000,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,YMER,WithProbRELEASE,TRUE,null,4322540.0000,4322540.0000,TRUE,null,4260938.0000,4260938.0000,TRUE,null,7796839.0000,7796839.0000,0.0000,5460105.6667,5460105.6667,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MC2,WithProbRELEASE,TRUE,24381198.0000,209728134.0000,234109332.0000,TRUE,26664214.0000,205768439.0000,232432653.0000,TRUE,23147236.0000,203241155.0000,226388391.0000,24730882.6667,206245909.3333,230976792.0000,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MRMC,WithProbRELEASE,TRUE,1435249072.0000,3869987.0000,1439119059.0000,TRUE,1411813160.0000,2723166.0000,1414536326.0000,TRUE,1397041016.0000,2230210.0000,1399271226.0000,1414701082.6667,2941121.0000,1417642203.6667,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PRISM,WithProbRELEASE,TRUE,null,1484394232.0000,1484394232.0000,TRUE,null,1479487850.0000,1479487850.0000,TRUE,null,1474656188.0000,1474656188.0000,0.0000,1479512756.6667,1479512756.6667,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PLASMA,WithProbRELEASE,TRUE,null,1613949811.0000,1613949811.0000,TRUE,null,1662379215.0000,1662379215.0000,TRUE,null,1635044280.0000,1635044280.0000,0.0000,1637124435.3333,1637124435.3333,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,YMER,WithProbRELEASE,TRUE,null,12480383.0000,12480383.0000,TRUE,null,10396461.0000,10396461.0000,TRUE,null,8107254.0000,8107254.0000,0.0000,10328032.6667,10328032.6667,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MC2,WithProbRELEASE,TRUE,1014050777.0000,328865941.0000,1342916718.0000,TRUE,998757482.0000,322840130.0000,1321597612.0000,TRUE,994279319.0000,280077332.0000,1274356651.0000,1002362526.0000,310594467.6667,1312956993.6667,1.0000
