FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1527722581,1527722581,TRUE,null,1496553603,1496553603,TRUE,null,1534711342,1534711342,0,1.52E+09,1.52E+09,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1923481085,1923481085,TRUE,null,1973291097,1973291097,TRUE,null,1831851603,1831851603,0,1.91E+09,1.91E+09,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,5298464,5298464,TRUE,null,6477868,6477868,TRUE,null,7306929,7306929,0,6361087,6361087,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbWEAK_UNTIL,TRUE,32010006894,2182902025,34192908919,TRUE,31492149107,2262414875,33754563982,TRUE,31447929922,2132644803,33580574725,3.17E+10,2.19E+09,3.38E+10,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1497176789,1497176789,TRUE,null,1512700449,1512700449,TRUE,null,1474250332,1474250332,0,1.49E+09,1.49E+09,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1894921031,1894921031,TRUE,null,1902021855,1902021855,TRUE,null,1826390871,1826390871,0,1.87E+09,1.87E+09,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,5331763,5331763,TRUE,null,6090799,6090799,TRUE,null,9705171,9705171,0,7042577.667,7042577.667,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbWEAK_UNTIL,TRUE,31841117869,2197424262,34038542131,TRUE,31561540068,2107628970,33669169038,TRUE,31569742361,2159487923,33729230284,3.17E+10,2.15E+09,3.38E+10,1
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PRISM,WithProbWEAK_UNTIL,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1821717135,1821717135,TRUE,null,1822610985,1822610985,TRUE,null,1839999557,1839999557,0,1.83E+09,1.83E+09,1
