FileOrder, ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,8657202.0000,8657202.0000,TRUE,null,4664819.0000,4664819.0000,TRUE,null,4524416.0000,4524416.0000,0.0000,5948812.3333,5948812.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,25606323.0000,242831629.0000,268437952.0000,TRUE,26913122.0000,233097147.0000,260010269.0000,TRUE,23508160.0000,219482472.0000,242990632.0000,25342535.0000,231803749.3333,257146284.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1431969813.0000,2197538.0000,1434167351.0000,TRUE,1438908280.0000,2069241.0000,1440977521.0000,TRUE,1402525238.0000,1892810.0000,1404418048.0000,1424467777.0000,2053196.3333,1426520973.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1497250896.0000,1497250896.0000,TRUE,null,1485793708.0000,1485793708.0000,TRUE,null,1508929901.0000,1508929901.0000,0.0000,1497324835.0000,1497324835.0000,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1868690869.0000,1868690869.0000,TRUE,null,1769182266.0000,1769182266.0000,TRUE,null,1792407108.0000,1792407108.0000,0.0000,1810093414.3333,1810093414.3333,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,4810971.0000,4810971.0000,TRUE,null,4554147.0000,4554147.0000,TRUE,null,4448416.0000,4448416.0000,0.0000,4604511.3333,4604511.3333,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,26073505.0000,261067348.0000,287140853.0000,TRUE,25975613.0000,229252113.0000,255227726.0000,TRUE,24503477.0000,258515571.0000,283019048.0000,25517531.6667,249611677.3333,275129209.0000,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1435278723.0000,1982200.0000,1437260923.0000,TRUE,1390499969.0000,2512671.0000,1393012640.0000,TRUE,1398739944.0000,1744386.0000,1400484330.0000,1408172878.6667,2079752.3333,1410252631.0000,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1494110872.0000,1494110872.0000,TRUE,null,1514762595.0000,1514762595.0000,TRUE,null,1481120199.0000,1481120199.0000,0.0000,1496664555.3333,1496664555.3333,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1724891521.0000,1724891521.0000,TRUE,null,1594749610.0000,1594749610.0000,TRUE,null,1668160097.0000,1668160097.0000,0.0000,1662600409.3333,1662600409.3333,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,6795269.0000,6795269.0000,TRUE,null,6627595.0000,6627595.0000,TRUE,null,12278615.0000,12278615.0000,0.0000,8567159.6667,8567159.6667,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,1005974351.0000,366960079.0000,1372934430.0000,TRUE,1010023321.0000,307712031.0000,1317735352.0000,TRUE,1040496097.0000,329607345.0000,1370103442.0000,1018831256.3333,334759818.3333,1353591074.6667,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1424571878.0000,6472905.0000,1431044783.0000,TRUE,1416634821.0000,9868867.0000,1426503688.0000,TRUE,1392926400.0000,7648922.0000,1400575322.0000,1411377699.6667,7996898.0000,1419374597.6667,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1463786654.0000,1463786654.0000,TRUE,null,1483987362.0000,1483987362.0000,TRUE,null,1483959348.0000,1483959348.0000,0.0000,1477244454.6667,1477244454.6667,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1576427120.0000,1576427120.0000,TRUE,null,1603336113.0000,1603336113.0000,TRUE,null,1709917211.0000,1709917211.0000,0.0000,1629893481.3333,1629893481.3333,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,11263324.0000,11263324.0000,TRUE,null,6639884.0000,6639884.0000,TRUE,null,8182261.0000,8182261.0000,0.0000,8695156.3333,8695156.3333,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,1036261034.0000,323506296.0000,1359767330.0000,TRUE,1029602033.0000,345330990.0000,1374933023.0000,TRUE,1016867686.0000,338033831.0000,1354901517.0000,1027576917.6667,335623705.6667,1363200623.3333,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1404374424.0000,12002422.0000,1416376846.0000,TRUE,1409285609.0000,11345467.0000,1420631076.0000,TRUE,1443975727.0000,11060709.0000,1455036436.0000,1419211920.0000,11469532.6667,1430681452.6667,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1469815864.0000,1469815864.0000,TRUE,null,1514539891.0000,1514539891.0000,TRUE,null,1474161437.0000,1474161437.0000,0.0000,1486172397.3333,1486172397.3333,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1669261225.0000,1669261225.0000,TRUE,null,1610507146.0000,1610507146.0000,TRUE,null,1632527101.0000,1632527101.0000,0.0000,1637431824.0000,1637431824.0000,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,13894419.0000,13894419.0000,TRUE,null,12469719.0000,12469719.0000,TRUE,null,15936247.0000,15936247.0000,0.0000,14100128.3333,14100128.3333,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,1068648855.0000,364485059.0000,1433133914.0000,TRUE,1059864759.0000,337105874.0000,1396970633.0000,TRUE,1052744424.0000,330552114.0000,1383296538.0000,1060419346.0000,344047682.3333,1404467028.3333,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1410070555.0000,10419496.0000,1420490051.0000,TRUE,1443610436.0000,9199414.0000,1452809850.0000,TRUE,1396331293.0000,11703284.0000,1408034577.0000,1416670761.3333,10440731.3333,1427111492.6667,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1481109370.0000,1481109370.0000,TRUE,null,1464364995.0000,1464364995.0000,TRUE,null,1459994201.0000,1459994201.0000,0.0000,1468489522.0000,1468489522.0000,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1616915580.0000,1616915580.0000,TRUE,null,1650775491.0000,1650775491.0000,TRUE,null,1595205096.0000,1595205096.0000,0.0000,1620965389.0000,1620965389.0000,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,11762920.0000,11762920.0000,TRUE,null,9665882.0000,9665882.0000,TRUE,null,14177343.0000,14177343.0000,0.0000,11868715.0000,11868715.0000,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,34611440.0000,235385135.0000,269996575.0000,TRUE,30506787.0000,214869373.0000,245376160.0000,TRUE,33099263.0000,225972719.0000,259071982.0000,32739163.3333,225409075.6667,258148239.0000,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1455118342.0000,2688057.0000,1457806399.0000,TRUE,1411301383.0000,2366595.0000,1413667978.0000,TRUE,1401332013.0000,2695118.0000,1404027131.0000,1422583912.6667,2583256.6667,1425167169.3333,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1517322334.0000,1517322334.0000,TRUE,null,1468808900.0000,1468808900.0000,TRUE,null,1507987342.0000,1507987342.0000,0.0000,1498039525.3333,1498039525.3333,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1650905109.0000,1650905109.0000,TRUE,null,1725379719.0000,1725379719.0000,TRUE,null,1732569789.0000,1732569789.0000,0.0000,1702951539.0000,1702951539.0000,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,9972730.0000,9972730.0000,TRUE,null,9475390.0000,9475390.0000,TRUE,null,10464951.0000,10464951.0000,0.0000,9971023.6667,9971023.6667,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,1051673383.0000,328532967.0000,1380206350.0000,TRUE,1048442851.0000,322855311.0000,1371298162.0000,TRUE,1048297898.0000,348016804.0000,1396314702.0000,1049471377.3333,333135027.3333,1382606404.6667,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1418992474.0000,9841223.0000,1428833697.0000,TRUE,1405011999.0000,11232822.0000,1416244821.0000,TRUE,1402790075.0000,11561383.0000,1414351458.0000,1408931516.0000,10878476.0000,1419809992.0000,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1475349199.0000,1475349199.0000,TRUE,null,1515639819.0000,1515639819.0000,TRUE,null,1465516755.0000,1465516755.0000,0.0000,1485501924.3333,1485501924.3333,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1602695568.0000,1602695568.0000,TRUE,null,1669055536.0000,1669055536.0000,TRUE,null,1668328162.0000,1668328162.0000,0.0000,1646693088.6667,1646693088.6667,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,9435705.0000,9435705.0000,TRUE,null,6196835.0000,6196835.0000,TRUE,null,6659375.0000,6659375.0000,0.0000,7430638.3333,7430638.3333,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MRMC,WithProbWEAK_UNTIL,TRUE,1442040961.0000,2736918.0000,1444777879.0000,TRUE,1383318893.0000,5634463.0000,1388953356.0000,TRUE,1389435372.0000,4647884.0000,1394083256.0000,1404931742.0000,4339755.0000,1409271497.0000,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1468656608.0000,1468656608.0000,TRUE,null,1475665852.0000,1475665852.0000,TRUE,null,1582758038.0000,1582758038.0000,0.0000,1509026832.6667,1509026832.6667,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,PLASMA,WithProbWEAK_UNTIL,TRUE,null,1666146924.0000,1666146924.0000,TRUE,null,1615487041.0000,1615487041.0000,TRUE,null,1593479503.0000,1593479503.0000,0.0000,1625037822.6667,1625037822.6667,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MC2,WithProbWEAK_UNTIL,TRUE,32528420299.0000,1886207664.0000,34414627963.0000,TRUE,32835231720.0000,1705721018.0000,34540952738.0000,TRUE,31680421910.0000,1699466143.0000,33379888053.0000,32348024643.0000,1763798275.0000,34111822918.0000,1.0000
9.0000,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,YMER,WithProbWEAK_UNTIL,TRUE,null,10831236.0000,10831236.0000,TRUE,null,8555036.0000,8555036.0000,TRUE,null,8621971.0000,8621971.0000,0.0000,9336081.0000,9336081.0000,1.0000
9.0000,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,PRISM,WithProbWEAK_UNTIL,TRUE,null,1614288711.0000,1614288711.0000,TRUE,null,1493155451.0000,1493155451.0000,TRUE,null,1458176618.0000,1458176618.0000,0.0000,1521873593.3333,1521873593.3333,1.0000
