FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,131564251,131564251,TRUE,null,5235902,5235902,TRUE,null,5379766,5379766,0,47393306.33,47393306.33,1
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,331827321,204329491,536156812,TRUE,24476897,180360096,204836993,TRUE,27346090,212028607,239374697,127883436,198906064.7,326789500.7,1
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1373786873,39110159,1412897032,TRUE,1394899902,2252949,1397152851,TRUE,1381716420,1699397,1383415817,1383467732,14354168.33,1397821900,1
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1927248103,1927248103,TRUE,null,1512384495,1512384495,TRUE,null,1592342911,1592342911,0,1677325170,1677325170,1
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,5067626424,5067626424,TRUE,null,1489676750,1489676750,TRUE,null,1518471553,1518471553,0,2691924909,2691924909,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,4171189,4171189,TRUE,null,4265236,4265236,TRUE,null,4740403,4740403,0,4392276,4392276,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,22465347,200625964,223091311,TRUE,19483140,177254885,196738025,TRUE,24921415,182313251,207234666,22289967.33,186731366.7,209021334,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1384072302,1868926,1385941228,TRUE,1401387756,2600817,1403988573,TRUE,1408251615,2639539,1410891154,1397903891,2369760.667,1400273652,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1479527798,1479527798,TRUE,null,1446535518,1446535518,TRUE,null,1455708371,1455708371,0,1460590562,1460590562,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1617584212,1617584212,TRUE,null,1564806707,1564806707,TRUE,null,1511773525,1511773525,0,1564721481,1564721481,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,9245931,9245931,TRUE,null,10165645,10165645,TRUE,null,10844102,10844102,0,10085226,10085226,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,932102183,252624665,1184726848,TRUE,943241500,268391940,1211633440,TRUE,942100925,257599230,1199700155,939148202.7,259538611.7,1198686814,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1386804559,9763725,1396568284,TRUE,1423113400,11070819,1434184219,TRUE,1412525158,12163224,1424688382,1407481039,10999256,1418480295,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1471006863,1471006863,TRUE,null,1503016166,1503016166,TRUE,null,1529908523,1529908523,0,1501310517,1501310517,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1485305410,1485305410,TRUE,null,1571242988,1571242988,TRUE,null,1615349685,1615349685,0,1557299361,1557299361,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,12247822,12247822,TRUE,null,10844316,10844316,TRUE,null,12007243,12007243,0,11699793.67,11699793.67,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,929419869,256401100,1185820969,TRUE,933714131,246472385,1180186516,TRUE,927290677,284033821,1211324498,930141559,262302435.3,1192443994,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1398679998,7853321,1406533319,TRUE,1398218275,13064282,1411282557,TRUE,1386379480,14170193,1400549673,1394425918,11695932,1406121850,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1530882142,1530882142,TRUE,null,1468894508,1468894508,TRUE,null,1481984786,1481984786,0,1493920479,1493920479,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1623401316,1623401316,TRUE,null,1573649874,1573649874,TRUE,null,1577520311,1577520311,0,1591523834,1591523834,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,14382022,14382022,TRUE,null,15077323,15077323,TRUE,null,13483155,13483155,0,14314166.67,14314166.67,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,1016639996,270554887,1287194883,TRUE,1005105802,261261614,1266367416,TRUE,1001739096,274892017,1276631113,1007828298,268902839.3,1276731137,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1467090965,1467090965,TRUE,null,1464116698,1464116698,TRUE,null,1476072595,1476072595,0,1469093419,1469093419,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1733757200,1733757200,TRUE,null,1605794781,1605794781,TRUE,null,1646680425,1646680425,0,1662077469,1662077469,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1461808965,629828328,2091637293,TRUE,1366743879,635394361,2002138240,TRUE,1390541866,641981187,2032523053,1406364903,635734625.3,2042099529,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,12807993,12807993,TRUE,null,12034347,12034347,TRUE,null,12815630,12815630,0,12552656.67,12552656.67,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,32466080,188495494,220961574,TRUE,29104354,172308396,201412750,TRUE,29597066,184325238,213922304,30389166.67,181709709.3,212098876,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1373083285,2616525,1375699810,TRUE,1387513139,2465016,1389978155,TRUE,1372726605,2061203,1374787808,1377774343,2380914.667,1380155258,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1519823429,1519823429,TRUE,null,1463243439,1463243439,TRUE,null,1457834391,1457834391,0,1480300420,1480300420,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1609116498,1609116498,TRUE,null,1824181298,1824181298,TRUE,null,1586355781,1586355781,0,1673217859,1673217859,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,19882396,19882396,TRUE,null,21280125,21280125,TRUE,null,13580576,13580576,0,18247699,18247699,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,1077920617,318943234,1396863851,TRUE,1034517538,289628776,1324146314,TRUE,985395783,298866435,1284262218,1032611313,302479481.7,1335090794,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1464622116,1464622116,TRUE,null,1463745849,1463745849,TRUE,null,1533938798,1533938798,0,1487435588,1487435588,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1526203341,1526203341,TRUE,null,1716329746,1716329746,TRUE,null,1595946828,1595946828,0,1612826638,1612826638,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1378039003,657081243,2035120246,TRUE,1423518069,670025434,2093543503,TRUE,1434142466,682151433,2116293899,1411899846,669752703.3,2081652549,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,10491347,10491347,TRUE,null,6621625,6621625,TRUE,null,6332036,6332036,0,7815002.667,7815002.667,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1373841171,1683383,1375524554,TRUE,1394810734,2781799,1397592533,TRUE,1393555565,1906201,1395461766,1387402490,2123794.333,1389526284,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1458110263,1458110263,TRUE,null,1475857860,1475857860,TRUE,null,1462042592,1462042592,0,1465336905,1465336905,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1683109191,1683109191,TRUE,null,1648707979,1648707979,TRUE,null,1649526988,1649526988,0,1660448053,1660448053,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,31024771013,1399084896,32423855909,TRUE,30963954395,1418253732,32382208127,TRUE,31199270716,1403106574,32602377290,31062665375,1406815067,32469480442,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,48877636,48877636,TRUE,null,42555476,42555476,TRUE,null,32848812,32848812,0,41427308,41427308,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1387543509,29141324,1416684833,TRUE,1399034117,32875571,1431909688,TRUE,1381939751,31722723,1413662474,1389505792,31246539.33,1420752332,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1720084206,1720084206,TRUE,null,1843962364,1843962364,TRUE,null,1866117968,1866117968,0,1810054846,1810054846,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,30019301327,1041494396,31060795723,TRUE,29932337271,1038537312,30970874583,TRUE,29955441612,1044126063,30999567675,29969026737,1041385924,31010412660,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,26363796,26363796,TRUE,null,28126828,28126828,TRUE,null,29663564,29663564,0,28051396,28051396,1
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,332289603,265405606,597695209,TRUE,333165919,230806614,563972533,TRUE,335755747,228211800,563967547,333737089.7,241474673.3,575211763,1
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1467821974,1467821974,TRUE,null,1466106426,1466106426,TRUE,null,1503242427,1503242427,0,1479056942,1479056942,1
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,1365530704,65869595,1431400299,TRUE,1429291978,57800800,1487092778,TRUE,1453248699,70267014,1523515713,1416023794,64645803,1480669597,1
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1706968818,1706968818,TRUE,null,1749008606,1749008606,TRUE,null,1890943713,1890943713,0,1782307046,1782307046,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,20942646,20942646,TRUE,null,19581690,19581690,TRUE,null,21254138,21254138,0,20592824.67,20592824.67,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1465931994,1465931994,TRUE,null,1500309770,1500309770,TRUE,null,1487051305,1487051305,0,1484431023,1484431023,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1533416675,1533416675,TRUE,null,1685409832,1685409832,TRUE,null,1689590776,1689590776,0,1636139094,1636139094,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,1847167564,258315489,2105483053,TRUE,1855580492,268514884,2124095376,TRUE,1817009407,300848378,2117857785,1839919154,275892917,2115812071,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,7656258577,53139033172,60795291749,TRUE,7696238268,53063186834,60759425102,TRUE,7678379850,53253259632,60931639482,7676958898,53151826546,60828785444,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,26473296,26473296,TRUE,null,25520070,25520070,TRUE,null,27021996,27021996,0,26338454,26338454,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,MC2,WithProbEVENTUALLY,TRUE,825721998,282341620,1108063618,TRUE,824447378,286281075,1110728453,TRUE,814917985,250179912,1065097897,821695787,272934202.3,1094629989,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,PRISM,WithProbEVENTUALLY,TRUE,null,1560484097,1560484097,TRUE,null,1489448136,1489448136,TRUE,null,1471759601,1471759601,0,1507230611,1507230611,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,PLASMA,WithProbEVENTUALLY,TRUE,null,1667630473,1667630473,TRUE,null,1787850212,1787850212,TRUE,null,1588363620,1588363620,0,1681281435,1681281435,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,MRMC,WithProbEVENTUALLY,TRUE,3882584316,8332152789,12214737105,TRUE,3857366379,8404496500,12261862879,TRUE,3862381633,8343244943,12205626576,3867444109,8359964744,12227408853,1
13,BIOMD0000000267.xml.ssa,./models/sbml/test/1_100/13_BIOMD0000000267.xml.ssa.sbml,YMER,WithProbEVENTUALLY,TRUE,null,21149912,21149912,TRUE,null,22100709,22100709,TRUE,null,20196380,20196380,0,21149000.33,21149000.33,1
