FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PRISM,WithProbALWAYS,false,null,null,0,false,null,null,0,false,null,null,0,null,null,null,0.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbALWAYS,true,null,2185932709,2185932709,true,null,2136282105,2136282105,true,null,2137957638,2137957638,0.0,2.1533908173333335E9,2.1533908173333335E9,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,YMER,WithProbALWAYS,true,null,30297136,30297136,true,null,31015758,31015758,true,null,28152529,28152529,0.0,2.9821807666666668E7,2.9821807666666668E7,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbALWAYS,true,31556180332,1814015954,33370196286,true,30999375506,1771691030,32771066536,true,30534498688,1838259061,32372757749,3.1030018175333332E10,1.8079886816666667E9,3.2838006857E10,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PRISM,WithProbALWAYS,false,null,null,0,false,null,null,0,false,null,null,0,null,null,null,0.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbALWAYS,true,null,1960830635,1960830635,true,null,2144349159,2144349159,true,null,2005186580,2005186580,0.0,2.0367887913333333E9,2.0367887913333333E9,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,YMER,WithProbALWAYS,true,null,21207206,21207206,true,null,25703554,25703554,true,null,27687332,27687332,0.0,2.4866030666666668E7,2.4866030666666668E7,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbALWAYS,true,30629696308,1783244879,32412941187,true,30543103083,1779056496,32322159579,true,30558129810,1746677799,32304807609,3.0576976400333332E10,1.7696597246666667E9,3.2346636125E10,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PRISM,WithProbALWAYS,false,null,null,0,false,null,null,0,false,null,null,0,null,null,null,0.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbALWAYS,true,null,1746080315,1746080315,true,null,1757486027,1757486027,true,null,1833971235,1833971235,0.0,1.7791791923333333E9,1.7791791923333333E9,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,YMER,WithProbALWAYS,true,null,2945516,2945516,true,null,5508018,5508018,true,null,4913974,4913974,0.0,4455836.0,4455836.0,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,MC2,WithProbALWAYS,true,31056305574,1768928430,32825234004,true,31240537686,1777485732,33018023418,true,31178652904,1757019739,32935672643,3.1158498721333332E10,1.7678113003333333E9,3.2926310021666668E10,1.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PRISM,WithProbALWAYS,false,null,null,0,false,null,null,0,false,null,null,0,null,null,null,0.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PLASMA,WithProbALWAYS,true,null,1793878805,1793878805,true,null,1792949836,1792949836,true,null,1831207105,1831207105,0.0,1.8060119153333333E9,1.8060119153333333E9,1.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,YMER,WithProbALWAYS,true,null,4512048,4512048,true,null,3267512,3267512,true,null,3170379,3170379,0.0,3649979.6666666665,3649979.6666666665,1.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,MC2,WithProbALWAYS,true,31397038409,1837074048,33234112457,true,31697616915,1754229663,33451846578,true,31387157740,1733146685,33120304425,3.1493937688E10,1.7748167986666667E9,3.3268754486666668E10,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,PRISM,WithProbALWAYS,true,null,1464748648,1464748648,true,null,1465469245,1465469245,true,null,1510655255,1510655255,0.0,1.4802910493333333E9,1.4802910493333333E9,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,PLASMA,WithProbALWAYS,true,null,1761199022,1761199022,true,null,1765022971,1765022971,true,null,1755847027,1755847027,0.0,1.7606896733333333E9,1.7606896733333333E9,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,YMER,WithProbALWAYS,true,null,3917816,3917816,true,null,5656093,5656093,true,null,5197231,5197231,0.0,4923713.333333333,4923713.333333333,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,MC2,WithProbALWAYS,true,29657877703,1091427366,30749305069,true,29652817160,1090318707,30743135867,true,29514663334,1091356460,30606019794,2.9608452732333332E10,1.0910341776666667E9,3.069948691E10,1.0
