FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,26992244,243291274,270283518,TRUE,22938194,197964962,220903156,TRUE,27429391,213475896,240905287,25786609.67,218244044,244030653.7,1
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1421067398,47087593,1468154991,TRUE,1388700001,2574231,1391274232,TRUE,1392029418,2746262,1394775680,1400598939,17469362,1418068301,1
1,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1608206198,1608206198,TRUE,null,1612562138,1612562138,TRUE,null,1560129573,1560129573,0,1593632636,1593632636,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,23967557,198072344,222039901,TRUE,26343081,213415228,239758309,TRUE,29008225,244030931,273039156,26439621,218506167.7,244945788.7,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1437287982,2721526,1440009508,TRUE,1435041977,1864122,1436906099,TRUE,1404254311,2292705,1406547016,1425528090,2292784.333,1427820874,1
2,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1575925023,1575925023,TRUE,null,1636262399,1636262399,TRUE,null,1580964890,1580964890,0,1597717437,1597717437,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,1009767629,323111129,1332878758,TRUE,1026553932,331760492,1358314424,TRUE,1005619912,308859338,1314479250,1013980491,321243653,1335224144,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1432526249,11274424,1443800673,TRUE,1379503670,8919107,1388422777,TRUE,1402486481,10687341,1413173822,1404838800,10293624,1415132424,1
3,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1790545297,1790545297,TRUE,null,1988999854,1988999854,TRUE,null,1846123321,1846123321,0,1875222824,1875222824,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,1026840347,327351709,1354192056,TRUE,1037716694,306351610,1344068304,TRUE,1016928784,333624125,1350552909,1027161942,322442481.3,1349604423,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1433510360,9295376,1442805736,TRUE,1421918332,9836626,1431754958,TRUE,1388954761,7669282,1396624043,1414794484,8933761.333,1423728246,1
4,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1852881890,1852881890,TRUE,null,1940028447,1940028447,TRUE,null,1901269915,1901269915,0,1898060084,1898060084,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,1064946951,313627589,1378574540,TRUE,1077505514,336947230,1414452744,TRUE,1071799683,366418829,1438218512,1071417383,338997882.7,1410415265,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1429022821,6688780,1435711601,TRUE,1397488588,8049797,1405538385,TRUE,1419510627,8644706,1428155333,1415340679,7794427.667,1423135106,1
5,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1825219390,1825219390,TRUE,null,1826787455,1826787455,TRUE,null,2088625777,2088625777,0,1913544207,1913544207,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,35057330,239268455,274325785,TRUE,34401092,223678770,258079862,TRUE,36469220,215552672,252021892,35309214,226166632.3,261475846.3,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1452416358,1581016,1453997374,TRUE,1397005764,2735381,1399741145,TRUE,1402209744,2755073,1404964817,1417210622,2357156.667,1419567779,1
6,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1630914594,1630914594,TRUE,null,1577551322,1577551322,TRUE,null,1651172643,1651172643,0,1619879520,1619879520,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,1067736777,349223946,1416960723,TRUE,1066904147,322737006,1389641153,TRUE,1069858783,308098390,1377957173,1068166569,326686447.3,1394853016,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1462975037,6036972,1469012009,TRUE,1416091340,10711645,1426802985,TRUE,1395994772,7993708,1403988480,1425020383,8247441.667,1433267825,1
7,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1834709173,1834709173,TRUE,null,1824590690,1824590690,TRUE,null,1899637459,1899637459,0,1852979107,1852979107,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1402533521,2545849,1405079370,TRUE,1407438465,2854824,1410293289,TRUE,1394721141,3342671,1398063812,1401564376,2914448,1404478824,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,3841868976,3841868976,TRUE,null,4183469892,4183469892,TRUE,null,3927792305,3927792305,0,3984377058,3984377058,1
8,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,32042653843,1701425073,33744078916,TRUE,31820326077,1723992686,33544318763,TRUE,31635381091,1709886861,33345267952,31832787004,1711768207,33544555210,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1383318602,21618769,1404937371,TRUE,1372470025,25548134,1398018159,TRUE,1392297525,23630545,1415928070,1382695384,23599149.33,1406294533,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,3988357225,3988357225,TRUE,null,4296060614,4296060614,TRUE,null,4432487033,4432487033,0,4238968291,4238968291,1
9,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,32550128522,1699180804,34249309326,TRUE,32039936849,1714693693,33754630542,TRUE,31979601636,1677588230,33657189866,32189889002,1697154242,33887043245,1
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,353646733,233541105,587187838,TRUE,342011208,247206739,589217947,TRUE,340580707,249682525,590263232,345412882.7,243476789.7,588889672.3,1
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,1382585087,55370265,1437955352,TRUE,1397024189,55249979,1452274168,TRUE,1409271605,58954704,1468226309,1396293627,56524982.67,1452818610,1
10,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1640510602,1640510602,TRUE,null,1825962437,1825962437,TRUE,null,1783378632,1783378632,0,1749950557,1749950557,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1838835888,1838835888,TRUE,null,1952323294,1952323294,TRUE,null,1886769129,1886769129,0,1892642770,1892642770,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,1994196632,420603958,2414800590,TRUE,2002712878,360592098,2363304976,TRUE,2003082995,386683750,2389766745,1999997502,389293268.7,2389290770,1
11,BIOMD0000000225.xml.ssa,./models/sbml/test/1_100/11_BIOMD0000000225.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,7731355313,53140688681,60872043994,TRUE,7776338415,52938223423,60714561838,TRUE,7795936455,53104791661,60900728116,7767876728,53061234588,60829111316,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,MC2,WithProbFOLLOWS,TRUE,871944263,314306961,1186251224,TRUE,874626402,286520176,1161146578,TRUE,869658171,284458316,1154116487,872076278.7,295095151,1167171430,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1779126057,1779126057,TRUE,null,1759812231,1759812231,TRUE,null,1748358352,1748358352,0,1762432213,1762432213,1
12,BIOMD0000000092.xml.ssa,./models/sbml/test/1_100/12_BIOMD0000000092.xml.ssa.sbml,MRMC,WithProbFOLLOWS,TRUE,3887550144,104579818,3992129962,TRUE,3864122550,100907355,3965029905,TRUE,3856673929,101719704,3958393633,3869448874,102402292.3,3971851167,1
13,BIOMD0000000267.xml.ssa,./models/sbml/test/1_100/13_BIOMD0000000267.xml.ssa.sbml,PLASMA,WithProbFOLLOWS,TRUE,null,1895616352,1895616352,TRUE,null,1905180900,1905180900,TRUE,null,2068506419,2068506419,0,1956434557,1956434557,1
