FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PRISM,WithProbPRECEDES,true,null,1573463394,1573463394,true,null,1507406688,1507406688,true,null,1484856144,1484856144,0.0,1.521908742E9,1.521908742E9,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbPRECEDES,true,null,1829165975,1829165975,true,null,1972527965,1972527965,true,null,1859137185,1859137185,0.0,1.8869437083333333E9,1.8869437083333333E9,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,YMER,WithProbPRECEDES,true,null,43464481,43464481,true,null,6168940,6168940,true,null,7517255,7517255,0.0,1.9050225333333332E7,1.9050225333333332E7,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbPRECEDES,true,31856023148,2151653169,34007676317,true,31443584898,2213546216,33657131114,true,31566066429,2106717626,33672784055,3.1621891491666668E10,2.1573056703333335E9,3.3779197162E10,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PRISM,WithProbPRECEDES,true,null,1472073544,1472073544,true,null,1452559603,1452559603,true,null,1474221313,1474221313,0.0,1.46628482E9,1.46628482E9,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbPRECEDES,true,null,1802086146,1802086146,true,null,1873339147,1873339147,true,null,1840425311,1840425311,0.0,1.838616868E9,1.838616868E9,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,YMER,WithProbPRECEDES,true,null,10221194,10221194,true,null,7715496,7715496,true,null,8707395,8707395,0.0,8881361.666666666,8881361.666666666,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbPRECEDES,true,31915772708,2277684307,34193457015,true,31637753456,2138215263,33775968719,true,31595797852,2119091578,33714889430,3.1716441338666668E10,2.1783303826666665E9,3.3894771721333332E10,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PRISM,WithProbPRECEDES,false,null,null,0,false,null,null,0,false,null,null,0,null,null,null,0.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbPRECEDES,true,null,1741279710,1741279710,true,null,1771137229,1771137229,true,null,1815696185,1815696185,0.0,1.776037708E9,1.776037708E9,1.0
