FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,YMER,WithProbNEVER,TRUE,null,47436565.0000,47436565.0000,TRUE,null,7711707.0000,7711707.0000,TRUE,null,4486688.0000,4486688.0000,0.0000,19900000.0000,19878320.0000,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MC2,WithProbNEVER,TRUE,40828642.0000,222557314.0000,263385956.0000,TRUE,27503331.0000,193679766.0000,221183097.0000,TRUE,25201132.0000,194173311.0000,219374443.0000,31200000.0000,203000000.0000,234647832.0000,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MRMC,WithProbNEVER,TRUE,1436572303.0000,2210284.0000,1438782587.0000,TRUE,1400962424.0000,2259244.0000,1403221668.0000,TRUE,1394859462.0000,2652107.0000,1397511569.0000,1410000000.0000,2373878.3330,1413171941.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PRISM,WithProbNEVER,TRUE,null,1595616311.0000,1595616311.0000,TRUE,null,1482010461.0000,1482010461.0000,TRUE,null,1525179464.0000,1525179464.0000,0.0000,1530000000.0000,1534268745.3333,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PLASMA,WithProbNEVER,TRUE,null,1648557104.0000,1648557104.0000,TRUE,null,1684275117.0000,1684275117.0000,TRUE,null,1703386357.0000,1703386357.0000,0.0000,1680000000.0000,1678739526.0000,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,YMER,WithProbNEVER,TRUE,null,6465670.0000,6465670.0000,TRUE,null,8443861.0000,8443861.0000,TRUE,null,4177583.0000,4177583.0000,0.0000,6362371.3330,6362371.3333,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MC2,WithProbNEVER,TRUE,19828676.0000,201147088.0000,220975764.0000,TRUE,25582705.0000,191500240.0000,217082945.0000,TRUE,23293992.0000,220256876.0000,243550868.0000,22900000.0000,204000000.0000,227203192.3333,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MRMC,WithProbNEVER,TRUE,1464972116.0000,1825976.0000,1466798092.0000,TRUE,1405040929.0000,2440593.0000,1407481522.0000,TRUE,1430118334.0000,2689559.0000,1432807893.0000,1430000000.0000,2318709.3330,1435695835.6667,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PRISM,WithProbNEVER,TRUE,null,1504248923.0000,1504248923.0000,TRUE,null,1504042575.0000,1504042575.0000,TRUE,null,1499521252.0000,1499521252.0000,0.0000,1500000000.0000,1502604250.0000,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PLASMA,WithProbNEVER,TRUE,null,1724864870.0000,1724864870.0000,TRUE,null,1595921240.0000,1595921240.0000,TRUE,null,1631488926.0000,1631488926.0000,0.0000,1650000000.0000,1650758345.3333,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,YMER,WithProbNEVER,TRUE,null,6685110.0000,6685110.0000,TRUE,null,7927140.0000,7927140.0000,TRUE,null,7617174.0000,7617174.0000,0.0000,7409808.0000,7409808.0000,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MC2,WithProbNEVER,TRUE,962541197.0000,263632923.0000,1226174120.0000,TRUE,948139623.0000,286094787.0000,1234234410.0000,TRUE,957579598.0000,310334122.0000,1267913720.0000,956000000.0000,287000000.0000,1242774083.3333,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MRMC,WithProbNEVER,TRUE,1452943169.0000,11146478.0000,1464089647.0000,TRUE,1418522161.0000,9375768.0000,1427897929.0000,TRUE,1418068370.0000,8373669.0000,1426442039.0000,1430000000.0000,9631971.6670,1439476538.3333,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PRISM,WithProbNEVER,TRUE,null,1520423653.0000,1520423653.0000,TRUE,null,1498419562.0000,1498419562.0000,TRUE,null,1483026091.0000,1483026091.0000,0.0000,1500000000.0000,1500623102.0000,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PLASMA,WithProbNEVER,TRUE,null,1702966788.0000,1702966788.0000,TRUE,null,1553993899.0000,1553993899.0000,TRUE,null,1726627835.0000,1726627835.0000,0.0000,1660000000.0000,1661196174.0000,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,YMER,WithProbNEVER,TRUE,null,7300508.0000,7300508.0000,TRUE,null,7089509.0000,7089509.0000,TRUE,null,7700683.0000,7700683.0000,0.0000,7363566.6670,7363566.6667,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MC2,WithProbNEVER,TRUE,952907480.0000,286081605.0000,1238989085.0000,TRUE,963567141.0000,302425039.0000,1265992180.0000,TRUE,984779574.0000,274348606.0000,1259128180.0000,967000000.0000,288000000.0000,1254703148.3333,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MRMC,WithProbNEVER,TRUE,1426954348.0000,9551337.0000,1436505685.0000,TRUE,1406832000.0000,12160904.0000,1418992904.0000,TRUE,1453378866.0000,10685640.0000,1464064506.0000,1430000000.0000,10800000.0000,1439854365.0000,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PRISM,WithProbNEVER,TRUE,null,1546607012.0000,1546607012.0000,TRUE,null,1517859221.0000,1517859221.0000,TRUE,null,1522264298.0000,1522264298.0000,0.0000,1530000000.0000,1528910177.0000,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PLASMA,WithProbNEVER,TRUE,null,1922006231.0000,1922006231.0000,TRUE,null,1684922019.0000,1684922019.0000,TRUE,null,1663859164.0000,1663859164.0000,0.0000,1760000000.0000,1756929138.0000,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,YMER,WithProbNEVER,TRUE,null,12496243.0000,12496243.0000,TRUE,null,10681548.0000,10681548.0000,TRUE,null,14198988.0000,14198988.0000,0.0000,12500000.0000,12458926.3333,1.0000
