FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,24906219.0000,193342726.0000,218248945.0000,TRUE,19131081.0000,192662175.0000,211793256.0000,TRUE,27633731.0000,201919398.0000,229553129.0000,23890343.6667,195974766.3333,219865110.0000,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1463681638.0000,32495950.0000,1496177588.0000,TRUE,1403735995.0000,2766542.0000,1406502537.0000,TRUE,1423898179.0000,2074452.0000,1425972631.0000,1430438604.0000,12445648.0000,1442884252.0000,1.0000
1.0000,BIOMD0000000138.xml.ssa,./models/sbml/test/1_100/1_BIOMD0000000138.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,1878855107.0000,1878855107.0000,TRUE,null,1654391344.0000,1654391344.0000,TRUE,null,1777977460.0000,1777977460.0000,0.0000,1770407970.3333,1770407970.3333,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,21396475.0000,220402418.0000,241798893.0000,TRUE,29409743.0000,182133659.0000,211543402.0000,TRUE,22865749.0000,203150830.0000,226016579.0000,24557322.3333,201895635.6667,226452958.0000,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1439600025.0000,2015206.0000,1441615231.0000,TRUE,1413603065.0000,2742301.0000,1416345366.0000,TRUE,1411591851.0000,1930305.0000,1413522156.0000,1421598313.6667,2229270.6667,1423827584.3333,1.0000
2.0000,BIOMD0000000119.xml.ssa,./models/sbml/test/1_100/2_BIOMD0000000119.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,1590946542.0000,1590946542.0000,TRUE,null,1698369257.0000,1698369257.0000,TRUE,null,1617146303.0000,1617146303.0000,0.0000,1635487367.3333,1635487367.3333,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,981954145.0000,283422540.0000,1265376685.0000,TRUE,958302427.0000,274153123.0000,1232455550.0000,TRUE,959232590.0000,259236906.0000,1218469496.0000,966496387.3333,272270856.3333,1238767243.6667,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1459316887.0000,10819464.0000,1470136351.0000,TRUE,1457804425.0000,9433859.0000,1467238284.0000,TRUE,1409579885.0000,15010450.0000,1424590335.0000,1442233732.3333,11754591.0000,1453988323.3333,1.0000
3.0000,BIOMD0000000076.xml.ssa,./models/sbml/test/1_100/3_BIOMD0000000076.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,1928459489.0000,1928459489.0000,TRUE,null,1950830260.0000,1950830260.0000,TRUE,null,1742842653.0000,1742842653.0000,0.0000,1874044134.0000,1874044134.0000,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,954868630.0000,272478001.0000,1227346631.0000,TRUE,962292549.0000,287649330.0000,1249941879.0000,TRUE,953255521.0000,253875360.0000,1207130881.0000,956805566.6667,271334230.3333,1228139797.0000,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1428168946.0000,13854863.0000,1442023809.0000,TRUE,1404106333.0000,11627935.0000,1415734268.0000,TRUE,1405737391.0000,12861669.0000,1418599060.0000,1412670890.0000,12781489.0000,1425452379.0000,1.0000
4.0000,BIOMD0000000104.xml.ssa,./models/sbml/test/1_100/4_BIOMD0000000104.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,1787732452.0000,1787732452.0000,TRUE,null,1835450274.0000,1835450274.0000,TRUE,null,1962298409.0000,1962298409.0000,0.0000,1861827045.0000,1861827045.0000,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,1036661106.0000,292281154.0000,1328942260.0000,TRUE,1040080649.0000,301567214.0000,1341647863.0000,TRUE,1036437349.0000,298412381.0000,1334849730.0000,1037726368.0000,297420249.6667,1335146617.6667,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1434624086.0000,11402150.0000,1446026236.0000,TRUE,1422821350.0000,11563850.0000,1434385200.0000,TRUE,1406405631.0000,16464678.0000,1422870309.0000,1421283689.0000,13143559.3333,1434427248.3333,1.0000
5.0000,BIOMD0000000283.xml.ssa,./models/sbml/test/1_100/5_BIOMD0000000283.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,1864676977.0000,1864676977.0000,TRUE,null,1745254168.0000,1745254168.0000,TRUE,null,1897122511.0000,1897122511.0000,0.0000,1835684552.0000,1835684552.0000,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,29006307.0000,188216563.0000,217222870.0000,TRUE,33239790.0000,183292651.0000,216532441.0000,TRUE,26813734.0000,185602888.0000,212416622.0000,29686610.3333,185704034.0000,215390644.3333,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1461498698.0000,2377819.0000,1463876517.0000,TRUE,1399139219.0000,2449217.0000,1401588436.0000,TRUE,1420353837.0000,1725610.0000,1422079447.0000,1426997251.3333,2184215.3333,1429181466.6667,1.0000
6.0000,BIOMD0000000124.xml.ssa,./models/sbml/test/1_100/6_BIOMD0000000124.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,1651789793.0000,1651789793.0000,TRUE,null,1649740290.0000,1649740290.0000,TRUE,null,1689431164.0000,1689431164.0000,0.0000,1663653749.0000,1663653749.0000,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,1002929088.0000,277332283.0000,1280261371.0000,TRUE,994028847.0000,280049947.0000,1274078794.0000,TRUE,1010281220.0000,285775949.0000,1296057169.0000,1002413051.6667,281052726.3333,1283465778.0000,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1425583695.0000,13507767.0000,1439091462.0000,TRUE,1469888466.0000,16535041.0000,1486423507.0000,TRUE,1388001949.0000,15017673.0000,1403019622.0000,1427824703.3333,15020160.3333,1442844863.6667,1.0000
7.0000,BIOMD0000000150.xml.ssa,./models/sbml/test/1_100/7_BIOMD0000000150.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,2007631545.0000,2007631545.0000,TRUE,null,1818928059.0000,1818928059.0000,TRUE,null,1842337388.0000,1842337388.0000,0.0000,1889632330.6667,1889632330.6667,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1427093132.0000,2553720.0000,1429646852.0000,TRUE,1432195643.0000,3791798.0000,1435987441.0000,TRUE,1413117257.0000,3591516.0000,1416708773.0000,1424135344.0000,3312344.6667,1427447688.6667,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,3750018965.0000,3750018965.0000,TRUE,null,3822516550.0000,3822516550.0000,TRUE,null,3905580366.0000,3905580366.0000,0.0000,3826038627.0000,3826038627.0000,1.0000
8.0000,BIOMD0000000047.xml.ssa,./models/sbml/test/1_100/8_BIOMD0000000047.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,31681111429.0000,1450734658.0000,33131846087.0000,TRUE,31473316414.0000,1448379546.0000,32921695960.0000,TRUE,31508665930.0000,1412948334.0000,32921614264.0000,31554364591.0000,1437354179.3333,32991718770.3333,1.0000
9.0000,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,PLASMA,WithProbSTEADY_STATE,TRUE,null,4194934009.0000,4194934009.0000,TRUE,null,4205040877.0000,4205040877.0000,TRUE,null,4227244515.0000,4227244515.0000,0.0000,4209073133.6667,4209073133.6667,1.0000
9.0000,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,29965881174.0000,1023414935.0000,30989296109.0000,TRUE,30079681416.0000,1044072192.0000,31123753608.0000,TRUE,30819722931.0000,1192035161.0000,32011758092.0000,30288428507.0000,1086507429.3333,31374935936.3333,1.0000
9.0000,BIOMD0000000006.xml.ssa,./models/sbml/test/1_100/9_BIOMD0000000006.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,FALSE,1427962634.0000,null,1427962634.0000,FALSE,null,null,0.0000,FALSE,null,null,0.0000,null,null,null,0.0000
10.0000,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,MC2,WithProbSTEADY_STATE,TRUE,346479579.0000,223475048.0000,569954627.0000,TRUE,337822958.0000,216470193.0000,554293151.0000,TRUE,334392166.0000,236947827.0000,571339993.0000,339564901.0000,225631022.6667,565195923.6667,1.0000
10.0000,BIOMD0000000060.xml.ssa,./models/sbml/test/1_100/10_BIOMD0000000060.xml.ssa.sbml,MRMC,WithProbSTEADY_STATE,TRUE,1393446599.0000,71929353.0000,1465375952.0000,TRUE,1413797848.0000,67706528.0000,1481504376.0000,TRUE,1379177371.0000,68490044.0000,1447667415.0000,1395473939.3333,69375308.3333,1464849247.6667,1.0000
