FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1565319444,1565319444,TRUE,null,1503017331,1503017331,TRUE,null,1546642289,1546642289,0,1.54E+09,1.54E+09,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1913778535,1913778535,TRUE,null,1869887482,1869887482,TRUE,null,1867119998,1867119998,0,1.88E+09,1.88E+09,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,41293476,41293476,TRUE,null,6688628,6688628,TRUE,null,10174056,10174056,0,1.94E+07,1.94E+07,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,31860384326,2085659223,33946043549,TRUE,31560046318,2070791905,33630838223,TRUE,31536534396,2070111227,33606645623,3.17E+10,2.08E+09,3.37E+10,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1462308374,1462308374,TRUE,null,1553702964,1553702964,TRUE,null,1476644767,1476644767,0,1.50E+09,1.50E+09,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1756769127,1756769127,TRUE,null,1751596953,1751596953,TRUE,null,1912938994,1912938994,0,1.81E+09,1.81E+09,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,6525606,6525606,TRUE,null,5624513,5624513,TRUE,null,7784417,7784417,0,6644845.333,6644845.333,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,31597522193,2065509169,33663031362,TRUE,31650071759,2072189181,33722260940,TRUE,31752168926,2056174301,33808343227,3.17E+10,2.06E+09,3.37E+10,1
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PRISM,WithProbUNTIL,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1892821365,1892821365,TRUE,null,1767266398,1767266398,TRUE,null,1926344568,1926344568,0,1.86E+09,1.86E+09,1
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,3503617,3503617,TRUE,null,2954038,2954038,TRUE,null,3114068,3114068,0,3190574.333,3190574.333,1
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,32087592167,2069889295,34157481462,TRUE,32059507867,2068925359,34128433226,TRUE,32243945849,2266284803,34510230652,3.21E+10,2.14E+09,3.43E+10,1
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PRISM,WithProbUNTIL,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1896145197,1896145197,TRUE,null,1830130822,1830130822,TRUE,null,1897714782,1897714782,0,1.87E+09,1.87E+09,1
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,6367804,6367804,TRUE,null,3092944,3092944,TRUE,null,3277902,3277902,0,4246216.667,4246216.667,1
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,32148842854,2064012007,34212854861,TRUE,32221760021,2070495220,34292255241,TRUE,32007933419,2107359527,34115292946,3.21E+10,2.08E+09,3.42E+10,1
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,PRISM,WithProbUNTIL,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,2258164241,2258164241,TRUE,null,2257352359,2257352359,TRUE,null,2295066676,2295066676,0,2.27E+09,2.27E+09,1
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,17175404,17175404,TRUE,null,16980333,16980333,TRUE,null,18268442,18268442,0,1.75E+07,1.75E+07,1
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,31920205709,2081013646,34001219355,TRUE,31650371521,2063288402,33713659923,TRUE,31720631089,2106065966,33826697055,3.18E+10,2.08E+09,3.38E+10,1
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,PRISM,WithProbUNTIL,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,2093076657,2093076657,TRUE,null,2197913519,2197913519,TRUE,null,2194374462,2194374462,0,2.16E+09,2.16E+09,1
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,24234286,24234286,TRUE,null,23976845,23976845,TRUE,null,15630825,15630825,0,2.13E+07,2.13E+07,1
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,32696855938,2058157267,34755013205,TRUE,32004611776,2120912130,34125523906,TRUE,31865133145,2076778798,33941911943,3.22E+10,2.09E+09,3.43E+10,1
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1477243686,1477243686,TRUE,null,1455797896,1455797896,TRUE,null,1454525218,1454525218,0,1.46E+09,1.46E+09,1
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1877952984,1877952984,TRUE,null,1934951272,1934951272,TRUE,null,1842314294,1842314294,0,1.89E+09,1.89E+09,1
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,5770449,5770449,TRUE,null,6638263,6638263,TRUE,null,4955947,4955947,0,5788219.667,5788219.667,1
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,32045827502,2045901112,34091728614,TRUE,31459096576,2038301178,33497397754,TRUE,31737134142,2071397242,33808531384,3.17E+10,2.05E+09,3.38E+10,1
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1462495207,1462495207,TRUE,null,1468594191,1468594191,TRUE,null,1454112126,1454112126,0,1.46E+09,1.46E+09,1
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1789701330,1789701330,TRUE,null,1770699823,1770699823,TRUE,null,1924292669,1924292669,0,1.83E+09,1.83E+09,1
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,13754370,13754370,TRUE,null,11383400,11383400,TRUE,null,14737584,14737584,0,1.33E+07,1.33E+07,1
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,31925020303,1732141837,33657162140,TRUE,31572439235,1813318875,33385758110,TRUE,31668106968,1680442589,33348549557,3.17E+10,1.74E+09,3.35E+10,1
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1680224296,1680224296,TRUE,null,1508162564,1508162564,TRUE,null,1468099459,1468099459,0,1.55E+09,1.55E+09,1
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1803238979,1803238979,TRUE,null,1830175549,1830175549,TRUE,null,1832656501,1832656501,0,1.82E+09,1.82E+09,1
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,11787206,11787206,TRUE,null,15941682,15941682,TRUE,null,18263258,18263258,0,1.53E+07,1.53E+07,1
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,31974099109,1719606479,33693705588,TRUE,31678476643,1689424050,33367900693,TRUE,31567672350,1719823738,33287496088,3.17E+10,1.71E+09,3.34E+10,1
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1777023043,1777023043,TRUE,null,1455746284,1455746284,TRUE,null,1473270655,1473270655,0,1.57E+09,1.57E+09,1
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1796672832,1796672832,TRUE,null,1793797012,1793797012,TRUE,null,1877985533,1877985533,0,1.82E+09,1.82E+09,1
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,16007617,16007617,TRUE,null,16191770,16191770,TRUE,null,14702940,14702940,0,1.56E+07,1.56E+07,1
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,31793334288,1665241624,33458575912,TRUE,31776931241,1699543362,33476474603,TRUE,31755340373,1693886689,33449227062,3.18E+10,1.69E+09,3.35E+10,1
11,011_BIOMD0000000485.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/011_BIOMD0000000485.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1481704103,1481704103,TRUE,null,1471625261,1471625261,TRUE,null,1569409519,1569409519,0,1.51E+09,1.51E+09,1
11,011_BIOMD0000000485.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/011_BIOMD0000000485.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1907688254,1907688254,TRUE,null,1919312571,1919312571,TRUE,null,1867295619,1867295619,0,1.90E+09,1.90E+09,1
11,011_BIOMD0000000485.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/011_BIOMD0000000485.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,7772334,7772334,TRUE,null,8882323,8882323,TRUE,null,14410089,14410089,0,1.04E+07,1.04E+07,1
11,011_BIOMD0000000485.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/011_BIOMD0000000485.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,31514542121,2085046182,33599588303,TRUE,31530203710,2101290019,33631493729,TRUE,31686520346,2066327383,33752847729,3.16E+10,2.08E+09,3.37E+10,1
12,012_BIOMD0000000458.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/012_BIOMD0000000458.xml.mcp.sbml,PRISM,WithProbUNTIL,TRUE,null,1460036206,1460036206,TRUE,null,1511365678,1511365678,TRUE,null,1465483445,1465483445,0,1.48E+09,1.48E+09,1
12,012_BIOMD0000000458.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/012_BIOMD0000000458.xml.mcp.sbml,PLASMA,WithProbUNTIL,TRUE,null,1920997571,1920997571,TRUE,null,1874340870,1874340870,TRUE,null,1803096929,1803096929,0,1.87E+09,1.87E+09,1
12,012_BIOMD0000000458.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/012_BIOMD0000000458.xml.mcp.sbml,YMER,WithProbUNTIL,TRUE,null,10474807,10474807,TRUE,null,9923967,9923967,TRUE,null,10419372,10419372,0,1.03E+07,1.03E+07,1
12,012_BIOMD0000000458.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/012_BIOMD0000000458.xml.mcp.sbml,MC2,WithProbUNTIL,TRUE,30888703526,1038605885,31927309411,TRUE,30768717233,1035236093,31803953326,TRUE,30358803918,1036761754,31395565672,3.07E+10,1.04E+09,3.17E+10,1
