FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4626170044,4626170044,true,null,4737555669,4737555669,true,null,4627116206,4627116206,0.0,4.663613973E9,4.663613973E9,1.0
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,31301724623,1738696838,33040421461,true,30704952832,1891597910,32596550742,true,30444054786,1777170043,32221224829,3.0816910747E10,1.8024882636666667E9,3.2619399010666668E10,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4551171813,4551171813,true,null,4427458107,4427458107,true,null,4384801730,4384801730,0.0,4.454477216666667E9,4.454477216666667E9,1.0
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,30540069178,1775364811,32315433989,true,30645507404,1795729313,32441236717,true,30579521367,1789588612,32369109979,3.0588365983E10,1.7868942453333333E9,3.2375260228333332E10,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,1782540807,1782540807,true,null,1840263817,1840263817,true,null,1914384745,1914384745,0.0,1.8457297896666667E9,1.8457297896666667E9,1.0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,30919762990,1773947200,32693710190,true,31366916026,1811045323,33177961349,true,31167295612,1751948328,32919243940,3.1151324876E10,1.7789802836666667E9,3.2930305159666668E10,1.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,1862007162,1862007162,true,null,1857130355,1857130355,true,null,1881445797,1881445797,0.0,1.8668611046666667E9,1.8668611046666667E9,1.0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,31567740381,1912734864,33480475245,true,31127102663,1766984551,32894087214,true,31191202736,1779505570,32970708306,3.1295348593333332E10,1.8197416616666667E9,3.3115090255E10,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3969971784,3969971784,true,null,3929391867,3929391867,true,null,3879357297,3879357297,0.0,3.926240316E9,3.926240316E9,1.0
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29495264153,1096800761,30592064914,true,29438672766,1141045480,30579718246,true,29449041537,1121100912,30570142449,2.9460992818666668E10,1.119649051E9,3.0580641869666668E10,1.0
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4144479967,4144479967,true,null,3954289089,3954289089,true,null,4092317187,4092317187,0.0,4.0636954143333335E9,4.0636954143333335E9,1.0
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29503046380,1098892601,30601938981,true,29340539091,1098852232,30439391323,true,29287956191,1136172793,30424128984,2.9377180554E10,1.1113058753333333E9,3.0488486429333332E10,1.0
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3865566425,3865566425,true,null,4001667914,4001667914,true,null,3804208168,3804208168,0.0,3.8904808356666665E9,3.8904808356666665E9,1.0
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29533260764,1158757927,30692018691,true,29487961567,1110287902,30598249469,true,29535574721,1125897350,30661472071,2.9518932350666668E10,1.1316477263333333E9,3.0650580077E10,1.0
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4681988112,4681988112,true,null,4509576549,4509576549,true,null,4663309604,4663309604,0.0,4.618291421666667E9,4.618291421666667E9,1.0
8,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29027951090,830521044,29858472134,true,29000619909,824086260,29824706169,true,29250848244,826593480,30077441724,2.9093139747666668E10,8.27066928E8,2.9920206675666668E10,1.0
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4469062031,4469062031,true,null,4661333933,4661333933,true,null,4726497156,4726497156,0.0,4.618964373333333E9,4.618964373333333E9,1.0
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29155399537,826178815,29981578352,true,29171269899,870388328,30041658227,true,29079706350,839455588,29919161938,2.9135458595333332E10,8.453409103333334E8,2.9980799505666668E10,1.0
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4534597943,4534597943,true,null,4584081852,4584081852,true,null,4404625379,4404625379,0.0,4.507768391333333E9,4.507768391333333E9,1.0
10,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29607087841,826779615,30433867456,true,29382574415,839708702,30222283117,true,29096701287,831779852,29928481139,2.9362121181E10,8.327560563333334E8,3.0194877237333332E10,1.0
11,011_BIOMD0000000485.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/011_BIOMD0000000485.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4725944431,4725944431,true,null,4762490211,4762490211,true,null,4513261435,4513261435,0.0,4.667232025666667E9,4.667232025666667E9,1.0
11,011_BIOMD0000000485.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/011_BIOMD0000000485.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,30870812105,1771072910,32641885015,true,30547431225,1768172517,32315603742,true,30905375223,1771854099,32677229322,3.0774539517666668E10,1.7703665086666667E9,3.2544906026333332E10,1.0
12,012_BIOMD0000000458.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/012_BIOMD0000000458.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3950055015,3950055015,true,null,4096260391,4096260391,true,null,4135750478,4135750478,0.0,4.060688628E9,4.060688628E9,1.0
12,012_BIOMD0000000458.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/012_BIOMD0000000458.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,28410441235,232730942,28643172177,true,28432136613,230066236,28662202849,true,28416386523,220014863,28636401386,2.8419654790333332E10,2.2760401366666666E8,2.8647258804E10,1.0
13,013_BIOMD0000000425.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/013_BIOMD0000000425.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3911556768,3911556768,true,null,4018760373,4018760373,true,null,3810611110,3810611110,0.0,3.9136427503333335E9,3.9136427503333335E9,1.0
13,013_BIOMD0000000425.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/013_BIOMD0000000425.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29279638054,1124772149,30404410203,true,29058129070,1092163611,30150292681,true,29414735026,1118077259,30532812285,2.925083405E10,1.1116710063333333E9,3.0362505056333332E10,1.0
14,015_BIOMD0000000420.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/015_BIOMD0000000420.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3874170063,3874170063,true,null,3964440581,3964440581,true,null,3991169872,3991169872,0.0,3.943260172E9,3.943260172E9,1.0
14,015_BIOMD0000000420.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/015_BIOMD0000000420.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29452227306,801552201,30253779507,true,29280408493,827368482,30107776975,true,29435824490,820910663,30256735153,2.9389486763E10,8.166104486666666E8,3.0206097211666668E10,1.0
15,014_BIOMD0000000421.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/014_BIOMD0000000421.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4082855091,4082855091,true,null,3985074064,3985074064,true,null,4101486731,4101486731,0.0,4.056471962E9,4.056471962E9,1.0
15,014_BIOMD0000000421.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/014_BIOMD0000000421.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29809256006,802748980,30612004986,true,29364958230,806475138,30171433368,true,29619277823,840705616,30459983439,2.9597830686333332E10,8.166432446666666E8,3.0414473931E10,1.0
16,016_BIOMD0000000558.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/016_BIOMD0000000558.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3917750809,3917750809,true,null,3910772860,3910772860,true,null,4104690776,4104690776,0.0,3.9777381483333335E9,3.9777381483333335E9,1.0
16,016_BIOMD0000000558.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/016_BIOMD0000000558.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,29699310702,819488197,30518798899,true,29675630062,789459421,30465089483,true,29654197546,801635666,30455833212,2.9676379436666668E10,8.035277613333334E8,3.0479907198E10,1.0
17,018_BIOMD0000000553.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/018_BIOMD0000000553.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4070497697,4070497697,true,null,4029901664,4029901664,true,null,4003226373,4003226373,0.0,4.0345419113333335E9,4.0345419113333335E9,1.0
17,018_BIOMD0000000553.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/018_BIOMD0000000553.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,30906760100,1094971072,32001731172,true,30715612910,1117148884,31832761794,true,31157170232,1091274794,32248445026,3.0926514414E10,1.1011315833333333E9,3.2027645997333332E10,1.0
18,017_BIOMD0000000552.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/017_BIOMD0000000552.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4088152737,4088152737,true,null,3946765971,3946765971,true,null,3921837921,3921837921,0.0,3.985585543E9,3.985585543E9,1.0
18,017_BIOMD0000000552.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/017_BIOMD0000000552.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,30950617019,1098447484,32049064503,true,31040770642,1144173940,32184944582,true,31131702892,1114670987,32246373879,3.1041030184333332E10,1.1190974703333333E9,3.2160127654666668E10,1.0
19,020_BIOMD0000000385.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/020_BIOMD0000000385.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3927829274,3927829274,true,null,4035282954,4035282954,true,null,4078331600,4078331600,0.0,4.0138146093333335E9,4.0138146093333335E9,1.0
19,020_BIOMD0000000385.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/020_BIOMD0000000385.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,31519794566,1057854373,32577648939,true,31366296266,916850943,32283147209,true,31556401270,934264311,32490665581,3.1480830700666668E10,9.696565423333334E8,3.2450487243E10,1.0
20,021_BIOMD0000000386.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/021_BIOMD0000000386.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3968241038,3968241038,true,null,4022786067,4022786067,true,null,4012542222,4012542222,0.0,4.0011897756666665E9,4.0011897756666665E9,1.0
20,021_BIOMD0000000386.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/021_BIOMD0000000386.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,31269386898,929628422,32199015320,true,31474518817,927189537,32401708354,true,31577841663,924725392,32502567055,3.1440582459333332E10,9.27181117E8,3.2367763576333332E10,1.0
21,019_BIOMD0000000384.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/019_BIOMD0000000384.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4107371246,4107371246,true,null,3951704117,3951704117,true,null,4045593307,4045593307,0.0,4.0348895566666665E9,4.0348895566666665E9,1.0
21,019_BIOMD0000000384.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/019_BIOMD0000000384.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,31843324536,911153204,32754477740,true,31327564443,942980796,32270545239,true,31445329335,916843233,32362172568,3.1538739438E10,9.236590776666666E8,3.2462398515666668E10,1.0
22,022_BIOMD0000000383.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/022_BIOMD0000000383.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4047195490,4047195490,true,null,4066472784,4066472784,true,null,4114279621,4114279621,0.0,4.0759826316666665E9,4.0759826316666665E9,1.0
22,022_BIOMD0000000383.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/022_BIOMD0000000383.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,31483866947,1058913537,32542780484,true,31559152243,947265308,32506417551,true,31783641097,1078309461,32861950558,3.1608886762333332E10,1.0281627686666666E9,3.2637049531E10,1.0
23,023_BIOMD0000000292.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/023_BIOMD0000000292.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4190647351,4190647351,true,null,4063215332,4063215332,true,null,4109212801,4109212801,0.0,4.1210251613333335E9,4.1210251613333335E9,1.0
23,023_BIOMD0000000292.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/023_BIOMD0000000292.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,32168664615,1127842499,33296507114,true,32169537236,1091891587,33261428823,true,32332267662,1112582831,33444850493,3.2223489837666668E10,1.1107723056666667E9,3.3334262143333332E10,1.0
24,024_BIOMD0000000387.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/024_BIOMD0000000387.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4102966956,4102966956,true,null,3920228348,3920228348,true,null,3962522487,3962522487,0.0,3.9952392636666665E9,3.9952392636666665E9,1.0
24,024_BIOMD0000000387.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/024_BIOMD0000000387.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,30621128044,254257135,30875385179,true,30465959964,230716051,30696676015,true,30314505951,248246580,30562752531,3.0467197986333332E10,2.4440658866666666E8,3.0711604575E10,1.0
25,025_BIOMD0000000454.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/025_BIOMD0000000454.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4239907109,4239907109,true,null,4297612314,4297612314,true,null,4235936178,4235936178,0.0,4.2578185336666665E9,4.2578185336666665E9,1.0
25,025_BIOMD0000000454.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/025_BIOMD0000000454.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,32748362996,925572887,33673935883,true,32671153413,957520048,33628673461,true,33087258669,926655134,34013913803,3.2835591692666668E10,9.365826896666666E8,3.3772174382333332E10,1.0
26,026_BIOMD0000000601.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/026_BIOMD0000000601.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,2227062424,2227062424,true,null,2288177919,2288177919,true,null,2320290455,2320290455,0.0,2.278510266E9,2.278510266E9,1.0
26,026_BIOMD0000000601.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/026_BIOMD0000000601.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,2359771044,232168630,2591939674,true,2347647726,230864525,2578512251,true,2340936752,232565117,2573501869,2.3494518406666665E9,2.3186609066666666E8,2.5813179313333335E9,1.0
27,027_BIOMD0000000507.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/027_BIOMD0000000507.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,3942609425,3942609425,true,null,4161289877,4161289877,true,null,4024683349,4024683349,0.0,4.0428608836666665E9,4.0428608836666665E9,1.0
27,027_BIOMD0000000507.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/027_BIOMD0000000507.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,30072567266,839273498,30911840764,true,29752653481,834870118,30587523599,true,30020114649,792451235,30812565884,2.9948445132E10,8.221982836666666E8,3.0770643415666668E10,1.0
28,028_BIOMD0000000546.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/028_BIOMD0000000546.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,2163562990,2163562990,true,null,2229741953,2229741953,true,null,2257829986,2257829986,0.0,2.2170449763333335E9,2.2170449763333335E9,1.0
28,028_BIOMD0000000546.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/028_BIOMD0000000546.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,2756892000,477977924,3234869924,true,2700769018,399544920,3100313938,true,2691487096,376558590,3068045686,2.7163827046666665E9,4.180271446666667E8,3.1344098493333335E9,1.0
29,029_BIOMD0000000455.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/029_BIOMD0000000455.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4383386555,4383386555,true,null,4423051307,4423051307,true,null,4347167344,4347167344,0.0,4.384535068666667E9,4.384535068666667E9,1.0
29,029_BIOMD0000000455.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/029_BIOMD0000000455.xml.mcp.sbml,MC2,WithProbINFINITELY_OFTEN,true,3568087920,395916846,3964004766,true,3544790163,394676913,3939467076,true,3565262736,385037950,3950300686,3.559380273E9,3.918772363333333E8,3.9512575093333335E9,1.0
30,030_BIOMD0000000487.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/030_BIOMD0000000487.xml.mcp.sbml,PLASMA,WithProbINFINITELY_OFTEN,true,null,4657274439,4657274439,true,null,4755648264,4755648264,true,null,4646073306,4646073306,0.0,4.686332003E9,4.686332003E9,1.0
