FileOrder,ModelName,ModelPath,ModelChecker,PatternType,1_NoError,1_ExtTT,1_VerifT,1_TotalT,2_NoError,2_ExtTT,2_VerifT,2_TotalT,3_NoError,3_ExtTT,3_VerifT,3_TotalT,Avg_ExtTT,Avg_VerifT,Avg_TotalT,PropOfNoError
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PRISM,WithProbNEXT,TRUE,null,1553192814,1553192814,TRUE,null,1479228480,1479228480,TRUE,null,1489470152,1489470152,0,1.51E+09,1.51E+09,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,PLASMA,WithProbNEXT,TRUE,null,4150948488,4150948488,TRUE,null,3859108594,3859108594,TRUE,null,4014721671,4014721671,0,4.01E+09,4.01E+09,1
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,MC2,WithProbNEXT,TRUE,30875402323,1880017997,32755420320,TRUE,30310252860,1793085203,32103338063,TRUE,29635893879,1778991785,31414885664,3.03E+10,1.82E+09,3.21E+10,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PRISM,WithProbNEXT,TRUE,null,1469765353,1469765353,TRUE,null,1462056178,1462056178,TRUE,null,1463654333,1463654333,0,1.47E+09,1.47E+09,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,PLASMA,WithProbNEXT,TRUE,null,3892469091,3892469091,TRUE,null,3882221275,3882221275,TRUE,null,3988944953,3988944953,0,3.92E+09,3.92E+09,1
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,MC2,WithProbNEXT,TRUE,30147414508,1744158091,31891572599,TRUE,29896703426,1867994058,31764697484,TRUE,29968253793,1752198788,31720452581,3.00E+10,1.79E+09,3.18E+10,1
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PRISM,WithProbNEXT,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,PLASMA,WithProbNEXT,TRUE,null,1804708176,1804708176,TRUE,null,1914433875,1914433875,TRUE,null,1831192333,1831192333,0,1.85E+09,1.85E+09,1
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,MC2,WithProbNEXT,TRUE,30174289121,1779456055,31953745176,TRUE,30282739482,1724836879,32007576361,TRUE,30137591603,1762503753,31900095356,3.02E+10,1.76E+09,3.20E+10,1
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PRISM,WithProbNEXT,FALSE,null,null,0,FALSE,null,null,0,FALSE,null,null,0,null,null,null,0
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,PLASMA,WithProbNEXT,TRUE,null,1825657090,1825657090,TRUE,null,1750875927,1750875927,TRUE,null,1885882960,1885882960,0,1.82E+09,1.82E+09,1
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,MC2,WithProbNEXT,TRUE,30302302486,1822753730,32125056216,TRUE,30831584536,1796027640,32627612176,TRUE,30643817762,1772848299,32416666061,3.06E+10,1.80E+09,3.24E+10,1
