FileOrder,ModelName,ModelPath,PatternType,SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfConstantSpecies,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM
1,001_BIOMD0000000486.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/001_BIOMD0000000486.xml.mcp.sbml,WithProbWEAK_UNTIL,2,2,1,1,1,2,1,1,1,2,2,2,2,4,0.5,1,1,1,0,2,4,2,2,2,4,2,2,2,4,3,3,3,6,1,1,1,1,0,0,2,4,2,2,2,4
2,002_BIOMD0000000484.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/002_BIOMD0000000484.xml.mcp.sbml,WithProbWEAK_UNTIL,2,2,1,1,1,2,1,1,1,2,2,2,2,4,0.5,1,1,1,0,2,4,2,2,2,4,2,2,2,4,3,3,3,6,1,1,1,1,0,0,2,4,2,2,2,4
3,003_BIOMD0000000566.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/003_BIOMD0000000566.xml.mcp.sbml,WithProbWEAK_UNTIL,2,3,0,1.5,3,3,1,1.5,2,3,2,2.5,3,5,0.75,0.333333333,1,1,0,2,7,2,3.5,5,7,3,3.5,4,7,4,5,6,10,1.75,0.857142857,1,1,0,2,0,4,2,2.5,3,5
4,004_BIOMD0000000567.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/004_BIOMD0000000567.xml.mcp.sbml,WithProbWEAK_UNTIL,2,3,0,1.5,3,3,1,1.5,2,3,2,2.5,3,5,0.75,0.333333333,1,1,0,2,7,2,3.5,5,7,3,3.5,4,7,4,5,6,10,1.75,0.857142857,1,1,0,2,0,4,2,2.5,3,5
5,005_BIOMD0000000418.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/005_BIOMD0000000418.xml.mcp.sbml,WithProbWEAK_UNTIL,3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,2,1,6,2,2,2,4
6,006_BIOMD0000000417.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/006_BIOMD0000000417.xml.mcp.sbml,WithProbWEAK_UNTIL,3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,2,1,6,2,2,2,4
7,007_BIOMD0000000414.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/007_BIOMD0000000414.xml.mcp.sbml,WithProbWEAK_UNTIL,3,3,0,1,2,3,0,1,2,3,1,2,3,6,0.333333333,0,1,2,1,3,7,1,2.333333333,3,7,2,2.333333333,3,7,3,3.666666667,4,11,0.777777778,0.714285714,1,1,0,2,1,9,2,2,2,6
8,008_BIOMD0000000461.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/008_BIOMD0000000461.xml.mcp.sbml,WithProbWEAK_UNTIL,4,6,1,1.5,3,6,1,1.5,3,6,2,3,6,12,0.375,1,1,3,1,6,24,2,4,6,24,4,4,4,24,5,7,9,42,0.666666667,0.75,1,1,0,1,3,24,2,2,2,12
9,009_BIOMD0000000460.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/009_BIOMD0000000460.xml.mcp.sbml,WithProbWEAK_UNTIL,4,6,1,1.5,3,6,1,1.5,3,6,2,3,6,12,0.375,1,1,3,1,6,24,2,4,6,24,4,4,4,24,5,7,9,42,0.666666667,0.75,1,1,0,1,3,24,2,2,2,12
10,010_BIOMD0000000459.xml.mcp,./models/sbml/mcpExtra/withFileNo/all/010_BIOMD0000000459.xml.mcp.sbml,WithProbWEAK_UNTIL,4,6,1,1.5,3,6,1,1.5,3,6,2,3,6,12,0.375,1,1,3,1,6,24,2,4,6,24,4,4,4,24,5,7,9,42,0.666666667,0.75,1,1,0,1,3,24,2,2,2,12
