SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,SSA
12,17,0,1.416666667,2,17,0,1.416666667,2,17,2,2.833333333,4,34,0.118055556,0,1,1,0,17,51,2,3,4,51,1,3,4,51,3,5,7,85,0.176470588,0.568627451,1,1,0,12,204,2,2,2,34,tl
13,25,0,1.923076923,3,25,0,1.923076923,8,25,2,3.846153846,8,50,0.147928994,0,1,1,0,17,115,2,6.764705882,12,115,1,6.764705882,12,115,3,12.05882353,21,205,0.397923875,0.808695652,1,1,0,13,221,2,2.470588235,3,42,pdm
9,7,0,0.777777778,2,7,0,0.777777778,2,7,1,1.555555556,3,14,0.086419753,0,3,2,1,7,13,1,1.857142857,3,13,1,1.857142857,3,13,2,2.714285714,4,19,0.265306122,0.692307692,3,1,0,9,63,2,2,2,14,pdm
7,7,0,1,2,7,0,1,2,7,1,2,3,14,0.142857143,0.571428571,3,2,1,7,15,1,2.142857143,3,15,2,2.142857143,3,15,3,3.285714286,4,23,0.306122449,0.866666667,3,1,0,7,49,2,2,2,14,odm
7,11,1,1.571428571,3,11,1,1.571428571,3,11,2,3.142857143,4,22,0.224489796,0.545454545,1,1,0,9,29,2,3.222222222,6,29,2,3.222222222,5,29,3,5.333333333,9,48,0.358024691,0.75862069,1,1,0,7,63,2,2.222222222,3,20,odm
3,3,1,1,1,3,1,1,1,3,2,2,2,6,0.333333333,0,1,1,0,3,6,2,2,2,6,2,2,2,6,3,3,3,9,0.666666667,0.5,1,1,0,3,9,2,2,2,6,tl
24,28,0,1.166666667,6,28,0,1.166666667,5,28,1,2.333333333,11,56,0.048611111,0.428571429,6,10,5,25,124,1,4.96,16,124,1,4.96,11,124,1,8.8,25,220,0.1984,0.709677419,6,1,0,24,600,2,2.12,3,53,pdm
13,15,0,1.153846154,3,15,0,1.153846154,4,15,1,2.307692308,6,30,0.088757396,0.266666667,3,6,3,13,48,1,3.692307692,11,48,1,3.692307692,8,48,2,6.307692308,17,82,0.284023669,0.708333333,3,1,0,13,169,2,2.153846154,3,28,odm
22,40,1,1.818181818,3,40,1,1.818181818,3,40,2,3.636363636,6,80,0.082644628,0.5,1,5,4,20,100,2,5,10,100,3,5,7,100,4,8.5,14,170,0.25,0.7,1,1,0,22,440,3,3,3,60,sdm
8,10,1,1.25,2,10,1,1.25,2,10,2,2.5,4,20,0.15625,1,3,1,0,10,28,2,2.8,4,28,2,2.8,3,28,3,4.6,6,46,0.28,0.857142857,3,1,0,8,80,2,2,2,20,tl
